epoch,train acc,test acc,train loss,test loss
1.0,0.5814,0.574,0.41860002279281616,0.4259999990463257
2.0,0.6138,0.609,0.3862000107765198,0.390999972820282
3.0,0.6504,0.651,0.34960001707077026,0.3489999771118164
4.0,0.6633,0.6725,0.3367000222206116,0.32749998569488525
5.0,0.6864,0.695,0.31360000371932983,0.3049999475479126
6.0,0.7032,0.6965,0.29680001735687256,0.3034999966621399
7.0,0.7084,0.6985,0.29159998893737793,0.30149996280670166
8.0,0.7124,0.6985,0.287600040435791,0.30149996280670166
9.0,0.7146,0.702,0.28540003299713135,0.2979999780654907
10.0,0.7151,0.705,0.2849000096321106,0.29499995708465576
11.0,0.716,0.7055,0.284000039100647,0.2944999933242798
12.0,0.7175,0.706,0.2825000286102295,0.29399996995925903
13.0,0.7249,0.7105,0.2750999927520752,0.2894999384880066
14.0,0.7261,0.715,0.27390003204345703,0.2849999666213989
15.0,0.7269,0.713,0.27310001850128174,0.2869999408721924
16.0,0.727,0.713,0.27300000190734863,0.2869999408721924
17.0,0.7271,0.713,0.2729000449180603,0.2869999408721924
18.0,0.7276,0.7115,0.27240002155303955,0.28849995136260986
19.0,0.7283,0.7145,0.27170002460479736,0.2854999899864197
20.0,0.7288,0.7145,0.2712000012397766,0.2854999899864197
21.0,0.7304,0.715,0.2696000337600708,0.2849999666213989
22.0,0.7341,0.7255,0.26590001583099365,0.27449995279312134
23.0,0.7404,0.7325,0.25960004329681396,0.26749998331069946
24.0,0.7419,0.729,0.2581000328063965,0.2709999680519104
25.0,0.7474,0.738,0.2526000142097473,0.2619999647140503
26.0,0.7475,0.7385,0.2524999976158142,0.26149994134902954
27.0,0.7489,0.7355,0.25110000371932983,0.2644999623298645
28.0,0.7498,0.736,0.2502000331878662,0.26399993896484375
29.0,0.75,0.7345,0.25,0.26549994945526123
30.0,0.7527,0.736,0.24730002880096436,0.26399993896484375
31.0,0.7543,0.7405,0.24570000171661377,0.2594999670982361
32.0,0.7552,0.741,0.24480003118515015,0.25899994373321533
33.0,0.7558,0.7425,0.2441999912261963,0.2574999928474426
34.0,0.7567,0.743,0.24330002069473267,0.2569999694824219
35.0,0.7576,0.738,0.24239999055862427,0.2619999647140503
36.0,0.758,0.743,0.2420000433921814,0.2569999694824219
37.0,0.7594,0.746,0.24059998989105225,0.2539999485015869
38.0,0.7601,0.745,0.23989999294281006,0.25499993562698364
39.0,0.7634,0.7475,0.23660004138946533,0.25249993801116943
40.0,0.7636,0.748,0.23640000820159912,0.25199997425079346
41.0,0.764,0.7505,0.23600000143051147,0.24949997663497925
42.0,0.7651,0.749,0.23489999771118164,0.25099998712539673
43.0,0.7661,0.75,0.2339000105857849,0.24999994039535522
44.0,0.7662,0.7515,0.2337999939918518,0.24849998950958252
45.0,0.7662,0.7515,0.2337999939918518,0.24849998950958252
46.0,0.767,0.7525,0.2330000400543213,0.24749994277954102
47.0,0.7672,0.7515,0.23280000686645508,0.24849998950958252
48.0,0.7679,0.752,0.2321000099182129,0.24799996614456177
49.0,0.7679,0.752,0.2321000099182129,0.24799996614456177
50.0,0.768,0.7505,0.23199999332427979,0.24949997663497925
51.0,0.7676,0.749,0.23240000009536743,0.25099998712539673
52.0,0.7705,0.755,0.22949999570846558,0.2449999451637268
53.0,0.7719,0.76,0.2281000018119812,0.2399999499320984
54.0,0.7721,0.7605,0.22790002822875977,0.2394999861717224
55.0,0.7726,0.7605,0.227400004863739,0.2394999861717224
56.0,0.7731,0.763,0.22690004110336304,0.2369999885559082
57.0,0.7733,0.7635,0.22670000791549683,0.23649996519088745
58.0,0.7737,0.762,0.22630000114440918,0.23799997568130493
59.0,0.774,0.761,0.22600001096725464,0.23899996280670166
60.0,0.7745,0.7615,0.22550004720687866,0.2384999394416809
61.0,0.7751,0.761,0.2249000072479248,0.23899996280670166
62.0,0.7751,0.76,0.2249000072479248,0.2399999499320984
63.0,0.7752,0.761,0.2247999906539917,0.23899996280670166
64.0,0.7799,0.7645,0.2201000452041626,0.23549997806549072
65.0,0.7803,0.764,0.21970003843307495,0.2359999418258667
66.0,0.7804,0.764,0.21960002183914185,0.2359999418258667
67.0,0.7808,0.765,0.2192000150680542,0.23499995470046997
68.0,0.7806,0.765,0.2194000482559204,0.23499995470046997
69.0,0.7808,0.765,0.2192000150680542,0.23499995470046997
70.0,0.7807,0.765,0.2193000316619873,0.23499995470046997
71.0,0.7805,0.764,0.21950000524520874,0.2359999418258667
72.0,0.7811,0.7655,0.21890002489089966,0.234499990940094
73.0,0.7811,0.7645,0.21890002489089966,0.23549997806549072
74.0,0.7818,0.765,0.21820002794265747,0.23499995470046997
75.0,0.7819,0.7655,0.21810001134872437,0.234499990940094
76.0,0.782,0.7655,0.21799999475479126,0.234499990940094
77.0,0.7841,0.767,0.2159000039100647,0.2329999804496765
78.0,0.7843,0.7685,0.21570003032684326,0.23149996995925903
79.0,0.7846,0.768,0.21540004014968872,0.23199999332427979
80.0,0.7848,0.7685,0.2152000069618225,0.23149996995925903
81.0,0.7862,0.772,0.21380001306533813,0.2279999852180481
82.0,0.787,0.7715,0.21299999952316284,0.22849994897842407
83.0,0.7872,0.771,0.2128000259399414,0.22899997234344482
84.0,0.7891,0.7765,0.21090000867843628,0.22349995374679565
85.0,0.7895,0.778,0.21050000190734863,0.22199994325637817
86.0,0.7901,0.778,0.20990002155303955,0.22199994325637817
87.0,0.79,0.778,0.21000003814697266,0.22199994325637817
88.0,0.79,0.778,0.21000003814697266,0.22199994325637817
89.0,0.7909,0.7775,0.20910000801086426,0.22249996662139893
90.0,0.7924,0.777,0.20759999752044678,0.22299998998641968
91.0,0.7926,0.7775,0.20740002393722534,0.22249996662139893
92.0,0.7928,0.777,0.20719999074935913,0.22299998998641968
93.0,0.7941,0.78,0.20590001344680786,0.21999996900558472
94.0,0.7947,0.78,0.20530003309249878,0.21999996900558472
95.0,0.7957,0.7805,0.20430004596710205,0.21949994564056396
96.0,0.7957,0.7805,0.20430004596710205,0.21949994564056396
97.0,0.7958,0.78,0.20420002937316895,0.21999996900558472
98.0,0.7952,0.779,0.20480000972747803,0.22099995613098145
