""
epoch,train_acc,test_acc
1,0.6096,0.736
2,0.7452,0.788
3,0.777,0.804
4,0.7864,0.8005
5,0.7922,0.796
6,0.8013,0.8085
7,0.8039,0.8185
8,0.8082,0.821
9,0.8143,0.815
10,0.8219,0.805
11,0.8245,0.825
12,0.8302,0.824
13,0.8343,0.824
14,0.8368,0.827
15,0.8356,0.812
16,0.8414,0.8265
17,0.8435,0.8315
18,0.8448,0.819
19,0.8488,0.833
20,0.8487,0.8325
21,0.8512,0.83
22,0.855,0.8285
23,0.853,0.8175
24,0.8611,0.826
25,0.857,0.8415
26,0.8626,0.8385
27,0.8644,0.837
28,0.8698,0.833
29,0.8658,0.8435
30,0.8706,0.836
31,0.8682,0.8415
32,0.8726,0.8425
33,0.8741,0.8325
34,0.8719,0.844
35,0.8775,0.848
36,0.8782,0.8425
37,0.8804,0.8425
38,0.8796,0.8505
39,0.8835,0.8445
40,0.8833,0.85
41,0.8846,0.8445
42,0.8869,0.8415
43,0.8887,0.8555
44,0.8928,0.845
45,0.8929,0.843
46,0.8951,0.847
47,0.8959,0.8465
48,0.8972,0.8515
49,0.8968,0.8425
50,0.897,0.8455
51,0.8976,0.849
52,0.902,0.8475
53,0.9014,0.84
54,0.903,0.839
55,0.9058,0.8495
56,0.9021,0.853
57,0.907,0.8515
58,0.9035,0.8505
59,0.9068,0.848
60,0.9066,0.8465
61,0.9102,0.854
62,0.9104,0.85
63,0.9139,0.8495
64,0.9102,0.852
65,0.9121,0.848
66,0.9091,0.8475
67,0.9206,0.851
68,0.9152,0.846
69,0.9196,0.846
70,0.92,0.8495
71,0.9249,0.834
72,0.9161,0.845
73,0.9177,0.86
74,0.9197,0.8515
75,0.9195,0.854
76,0.9223,0.854
77,0.9224,0.8505
78,0.9268,0.8565
79,0.9205,0.853
80,0.9278,0.853
81,0.9291,0.8605
82,0.9223,0.842
83,0.9249,0.8455
84,0.9343,0.853
85,0.9256,0.851
86,0.9291,0.84
87,0.9287,0.845
88,0.937,0.8475
89,0.9324,0.8525
90,0.933,0.854
91,0.932,0.855
92,0.9326,0.852
93,0.9367,0.851
94,0.9357,0.849
95,0.9372,0.853
96,0.9394,0.855
97,0.9376,0.856
98,0.936,0.8565
99,0.9403,0.842
100,0.9353,0.856
101,0.9368,0.8565
102,0.9382,0.8575
103,0.9376,0.849
104,0.9401,0.859
105,0.941,0.8435
106,0.9384,0.851
107,0.9415,0.8445
108,0.943,0.8595
109,0.9465,0.8515
110,0.9448,0.8485
111,0.9463,0.8585
112,0.9461,0.8555
113,0.9455,0.855
114,0.9505,0.851
115,0.9448,0.857
116,0.949,0.8465
117,0.9507,0.8455
118,0.9443,0.858
119,0.9471,0.8595
120,0.9484,0.858
121,0.9509,0.8545
122,0.9543,0.852
123,0.9524,0.8505
124,0.9492,0.844
125,0.9513,0.853
126,0.9555,0.857
127,0.9192,0.818
128,0.8909,0.8465
129,0.8956,0.8595
130,0.9062,0.855
131,0.9085,0.864
132,0.915,0.855
133,0.9026,0.858
134,0.9138,0.847
135,0.9048,0.8385
136,0.9199,0.857
137,0.9125,0.8455
138,0.9127,0.831
139,0.9253,0.8405
140,0.9235,0.8475
141,0.9314,0.8485
142,0.9328,0.8585
143,0.9197,0.844
144,0.9312,0.862
145,0.9288,0.858
146,0.9348,0.8605
147,0.9301,0.8495
148,0.9314,0.8555
149,0.9354,0.861
150,0.9372,0.8525
151,0.9327,0.8575
152,0.9373,0.85
153,0.9384,0.8585
154,0.9372,0.853
155,0.9311,0.8465
156,0.9303,0.856
157,0.9393,0.8565
158,0.943,0.8535
159,0.9415,0.86
160,0.9429,0.8625
161,0.9422,0.846
162,0.9346,0.859
163,0.9413,0.856
164,0.9378,0.8485
165,0.9408,0.861
166,0.9421,0.862
167,0.9444,0.86
168,0.9451,0.8655
169,0.9484,0.8615
170,0.9458,0.8585
171,0.9464,0.8295
172,0.9458,0.865
173,0.9465,0.8605
174,0.9545,0.854
175,0.9512,0.8565
176,0.9381,0.8645
177,0.9504,0.858
178,0.9432,0.8535
179,0.9499,0.864
180,0.9461,0.8635
181,0.9537,0.849
182,0.9529,0.86
183,0.9517,0.861
184,0.9464,0.8555
185,0.9533,0.862
186,0.9504,0.8525
187,0.9515,0.8515
188,0.9528,0.858
189,0.9525,0.862
190,0.9564,0.8565
191,0.9558,0.852
192,0.9535,0.8615
193,0.9592,0.8605
194,0.9563,0.863
195,0.9597,0.8645
196,0.9576,0.861
197,0.9579,0.8685
198,0.9631,0.8555
199,0.9606,0.864
200,0.9593,0.866
