""
epoch,train_acc,test_acc
1,0.8164,0.8705
2,0.8765,0.894
3,0.8854,0.8955
4,0.8905,0.8945
5,0.8918,0.9015
6,0.8976,0.9045
7,0.8977,0.9015
8,0.8976,0.9065
9,0.9006,0.8925
10,0.9007,0.902
11,0.9034,0.9115
12,0.906,0.9145
13,0.9081,0.9085
14,0.9124,0.9025
15,0.9128,0.909
16,0.913,0.906
17,0.9183,0.9055
18,0.9207,0.9175
19,0.9168,0.923
20,0.9174,0.919
21,0.9242,0.9205
22,0.9184,0.9125
23,0.9209,0.8955
24,0.9257,0.9185
25,0.9292,0.913
26,0.9311,0.9205
27,0.9267,0.893
28,0.9315,0.9135
29,0.9293,0.9245
30,0.9301,0.926
31,0.9336,0.9115
32,0.9312,0.9215
33,0.9367,0.9155
34,0.9375,0.923
35,0.9358,0.922
36,0.9325,0.9175
37,0.9355,0.9245
38,0.9384,0.923
39,0.9397,0.92
40,0.9365,0.9265
41,0.9406,0.9205
42,0.9441,0.914
43,0.9477,0.92
44,0.946,0.922
45,0.9464,0.916
46,0.9439,0.9285
47,0.9479,0.93
48,0.9496,0.927
49,0.9462,0.915
50,0.9237,0.918
51,0.9334,0.9215
52,0.9378,0.9235
53,0.9406,0.9225
54,0.9411,0.9245
55,0.9461,0.9255
56,0.9478,0.927
57,0.9423,0.9205
58,0.9497,0.9185
59,0.947,0.9245
60,0.9513,0.9005
61,0.9499,0.9155
62,0.9525,0.926
63,0.9567,0.9185
64,0.9535,0.9165
65,0.9525,0.9225
66,0.9521,0.928
67,0.9518,0.9185
68,0.9567,0.9285
69,0.9563,0.9245
70,0.9559,0.9265
71,0.953,0.93
72,0.9542,0.9155
73,0.9579,0.921
74,0.9561,0.9305
75,0.9512,0.9265
76,0.9631,0.9265
77,0.9576,0.9155
78,0.9574,0.916
79,0.9533,0.9135
80,0.9617,0.929
81,0.965,0.919
82,0.9611,0.9195
83,0.9648,0.929
84,0.9647,0.9185
85,0.9632,0.9265
86,0.9665,0.9235
87,0.9639,0.9175
88,0.9651,0.9285
89,0.9639,0.924
90,0.964,0.9265
91,0.9606,0.9175
92,0.9684,0.928
93,0.9681,0.9275
94,0.9712,0.924
95,0.9669,0.921
96,0.9713,0.93
97,0.9579,0.9195
98,0.9697,0.9255
99,0.973,0.9115
100,0.9688,0.926
101,0.971,0.91
102,0.9691,0.9
103,0.9701,0.922
104,0.9688,0.9255
105,0.9734,0.9205
106,0.9778,0.9225
107,0.974,0.916
108,0.9671,0.921
109,0.9715,0.9215
110,0.9745,0.9225
111,0.9775,0.9235
112,0.9751,0.9225
113,0.9647,0.916
114,0.9765,0.922
115,0.9761,0.9215
116,0.9777,0.9095
117,0.9761,0.926
118,0.9733,0.9215
119,0.9717,0.922
120,0.981,0.925
121,0.98,0.923
122,0.9501,0.9215
123,0.9633,0.91
124,0.9647,0.92
125,0.9791,0.9175
126,0.9759,0.9225
127,0.9795,0.9235
128,0.9796,0.9205
129,0.9842,0.9195
130,0.977,0.921
131,0.9767,0.9205
132,0.9786,0.9165
133,0.9838,0.923
134,0.983,0.9215
135,0.9816,0.9175
136,0.9831,0.922
137,0.9848,0.9265
138,0.9853,0.914
139,0.9847,0.9255
140,0.9868,0.926
141,0.987,0.925
142,0.9873,0.917
143,0.9868,0.923
144,0.9764,0.923
145,0.9797,0.9155
146,0.9794,0.921
147,0.9871,0.9265
148,0.9895,0.925
149,0.9894,0.927
150,0.9845,0.9145
151,0.9883,0.9225
152,0.989,0.9235
153,0.9837,0.9215
154,0.9898,0.923
155,0.9852,0.9285
156,0.9898,0.9265
157,0.9902,0.9255
158,0.9913,0.915
159,0.9912,0.9175
160,0.9891,0.923
161,0.9902,0.925
162,0.991,0.923
163,0.9266,0.909
164,0.9557,0.904
165,0.9649,0.8925
166,0.9617,0.921
167,0.9731,0.919
168,0.9742,0.9185
169,0.9766,0.9235
170,0.9802,0.9165
171,0.9781,0.9155
172,0.9547,0.9225
173,0.9788,0.918
174,0.9831,0.9175
175,0.9776,0.917
176,0.9726,0.9085
177,0.9629,0.917
178,0.965,0.9155
179,0.972,0.9235
180,0.9813,0.918
181,0.9796,0.9165
182,0.9829,0.9235
183,0.9829,0.912
184,0.982,0.918
185,0.9793,0.918
186,0.986,0.918
187,0.9812,0.9135
188,0.9653,0.875
189,0.9521,0.9165
190,0.9607,0.9105
191,0.9709,0.907
192,0.9677,0.914
193,0.9739,0.9175
194,0.9769,0.9135
195,0.9775,0.9155
196,0.9728,0.898
197,0.9733,0.913
198,0.9597,0.9155
199,0.9781,0.9175
200,0.971,0.9115
