epoch,train acc,test acc,train loss,test loss
50.0,0.6465,0.6275,0.35350000858306885,0.372499942779541
100.0,0.68,0.6275,0.3199999928474426,0.372499942779541
150.0,0.7138,0.653,0.28620004653930664,0.3469999432563782
200.0,0.7323,0.671,0.2677000164985657,0.32899999618530273
250.0,0.7386,0.6905,0.261400043964386,0.30949997901916504
300.0,0.7522,0.6905,0.24779999256134033,0.30949997901916504
350.0,0.7605,0.699,0.2395000457763672,0.3009999394416809
400.0,0.764,0.711,0.23600000143051147,0.2889999747276306
450.0,0.7719,0.713,0.2281000018119812,0.2869999408721924
500.0,0.774,0.71,0.22600001096725464,0.28999996185302734
550.0,0.7795,0.717,0.22049999237060547,0.28299999237060547
600.0,0.7864,0.72,0.2136000394821167,0.2799999713897705
650.0,0.7904,0.714,0.209600031375885,0.28599995374679565
700.0,0.7936,0.714,0.2064000368118286,0.28599995374679565
750.0,0.7959,0.7185,0.20410001277923584,0.281499981880188
800.0,0.8006,0.73,0.19940000772476196,0.26999998092651367
850.0,0.8018,0.7245,0.1982000470161438,0.27549993991851807
900.0,0.8038,0.719,0.19620001316070557,0.28099995851516724
950.0,0.8055,0.7195,0.19450002908706665,0.28049999475479126
1000.0,0.8072,0.7195,0.19280004501342773,0.28049999475479126
