""
epoch,train_acc,test_acc
1,0.7513,0.8335
2,0.8336,0.861
3,0.8582,0.862
4,0.8685,0.863
5,0.8716,0.8755
6,0.8774,0.8565
7,0.8764,0.8745
8,0.8823,0.882
9,0.8809,0.8755
10,0.8828,0.8565
11,0.886,0.88
12,0.8828,0.88
13,0.8874,0.887
14,0.8912,0.877
15,0.8888,0.883
16,0.8905,0.8745
17,0.8914,0.874
18,0.8929,0.8825
19,0.8956,0.8815
20,0.8913,0.888
21,0.8964,0.884
22,0.897,0.888
23,0.8979,0.889
24,0.8959,0.8825
25,0.8992,0.8915
26,0.9001,0.8875
27,0.9028,0.883
28,0.9018,0.8915
29,0.9035,0.8835
30,0.9051,0.894
31,0.905,0.89
32,0.9074,0.888
33,0.9082,0.8815
34,0.9075,0.8795
35,0.909,0.8925
36,0.9089,0.887
37,0.9115,0.8925
38,0.9127,0.889
39,0.9135,0.8915
40,0.9141,0.8885
41,0.9162,0.8865
42,0.9117,0.8815
43,0.9159,0.889
44,0.9163,0.891
45,0.9174,0.877
46,0.9151,0.882
47,0.9148,0.8875
48,0.9178,0.8905
49,0.9191,0.8935
50,0.9182,0.892
51,0.9183,0.887
52,0.9193,0.881
53,0.9183,0.888
54,0.9207,0.8895
55,0.9211,0.89
56,0.9228,0.879
57,0.9202,0.8905
58,0.9227,0.884
59,0.9222,0.895
60,0.9258,0.8875
61,0.9246,0.8945
62,0.9292,0.887
63,0.9272,0.889
64,0.9262,0.89
65,0.9307,0.8875
66,0.929,0.8795
67,0.9285,0.8865
68,0.9296,0.877
69,0.9303,0.886
70,0.9316,0.898
71,0.9328,0.89
72,0.9277,0.883
73,0.9322,0.8895
74,0.93,0.884
75,0.9328,0.8855
76,0.9322,0.8855
77,0.9318,0.8875
78,0.9354,0.8955
79,0.9304,0.892
80,0.9344,0.891
81,0.9308,0.887
82,0.9356,0.883
83,0.9357,0.8805
84,0.9334,0.8855
85,0.9364,0.8835
86,0.9382,0.893
87,0.9372,0.884
88,0.9377,0.889
89,0.9368,0.893
90,0.9391,0.881
91,0.9374,0.879
92,0.9348,0.889
93,0.9388,0.892
94,0.9334,0.8905
95,0.9376,0.8835
96,0.9406,0.8795
97,0.9441,0.8785
98,0.9424,0.889
99,0.9423,0.871
100,0.942,0.892
101,0.9427,0.8845
102,0.9433,0.8905
103,0.939,0.891
104,0.9454,0.891
105,0.9441,0.8835
106,0.9458,0.887
107,0.9458,0.895
108,0.9456,0.892
109,0.944,0.887
110,0.946,0.8845
111,0.9466,0.8825
112,0.9473,0.888
113,0.9462,0.8895
114,0.9494,0.8905
115,0.9456,0.883
116,0.949,0.8915
117,0.9485,0.88
118,0.9499,0.879
119,0.9515,0.8895
120,0.949,0.896
121,0.9489,0.8915
122,0.9505,0.887
123,0.9503,0.8935
124,0.9531,0.8925
125,0.9524,0.887
126,0.9524,0.8865
127,0.9496,0.8885
128,0.9495,0.891
129,0.9543,0.894
130,0.9538,0.8885
131,0.9528,0.888
132,0.9554,0.8925
133,0.9521,0.874
134,0.9538,0.8865
135,0.9563,0.896
136,0.9554,0.891
137,0.9556,0.8935
138,0.9542,0.8965
139,0.9572,0.8915
140,0.9569,0.889
141,0.953,0.8855
142,0.9547,0.8845
143,0.9599,0.8925
144,0.9541,0.8865
145,0.9466,0.885
146,0.9457,0.885
147,0.9465,0.895
148,0.9484,0.896
149,0.9505,0.8885
150,0.9526,0.875
151,0.9539,0.887
152,0.956,0.8905
153,0.9547,0.894
154,0.9507,0.8945
155,0.9534,0.8885
156,0.9461,0.8865
157,0.9542,0.8915
158,0.9492,0.9
159,0.9477,0.8835
160,0.9555,0.8935
161,0.9511,0.8885
162,0.9552,0.8915
163,0.9556,0.8965
164,0.9531,0.887
165,0.9562,0.893
166,0.9578,0.8965
167,0.954,0.8895
168,0.9577,0.895
169,0.9557,0.8925
170,0.96,0.8945
171,0.9488,0.8925
172,0.9588,0.8885
173,0.9549,0.9005
174,0.9564,0.8865
175,0.9577,0.8865
176,0.9573,0.899
177,0.958,0.893
178,0.9592,0.891
179,0.9605,0.893
180,0.9607,0.8835
181,0.9621,0.8885
182,0.9563,0.889
183,0.9593,0.892
184,0.9606,0.8955
185,0.9603,0.896
186,0.9609,0.896
187,0.9623,0.8925
188,0.9609,0.89
189,0.9618,0.8935
190,0.9613,0.892
191,0.9624,0.888
192,0.9644,0.8955
193,0.9648,0.8965
194,0.9608,0.888
195,0.9626,0.8935
196,0.9639,0.882
197,0.9653,0.8925
198,0.9657,0.8905
199,0.9631,0.901
200,0.9651,0.899
