""
epoch,train_acc,test_acc
1,0.6913,0.7695
2,0.7783,0.7995
3,0.799,0.818
4,0.8229,0.8415
5,0.8226,0.7865
6,0.8418,0.859
7,0.8401,0.8455
8,0.8484,0.8705
9,0.8483,0.8585
10,0.8589,0.872
11,0.8697,0.8725
12,0.8683,0.8765
13,0.87,0.869
14,0.8716,0.878
15,0.8725,0.872
16,0.8783,0.863
17,0.88,0.88
18,0.8847,0.875
19,0.8884,0.843
20,0.8852,0.878
21,0.888,0.871
22,0.8935,0.869
23,0.8884,0.878
24,0.8875,0.8815
25,0.8949,0.868
26,0.8962,0.834
27,0.9005,0.8575
28,0.9032,0.8785
29,0.8953,0.875
30,0.9015,0.876
31,0.8996,0.8765
32,0.9097,0.8555
33,0.9091,0.8695
34,0.9137,0.8515
35,0.9064,0.8925
36,0.916,0.862
37,0.9079,0.891
38,0.9135,0.875
39,0.9106,0.8875
40,0.9134,0.88
41,0.9162,0.8835
42,0.9212,0.8815
43,0.9219,0.8885
44,0.9171,0.8805
45,0.9282,0.8675
46,0.9238,0.893
47,0.9306,0.885
48,0.9267,0.866
49,0.9302,0.895
50,0.9209,0.8805
51,0.9236,0.889
52,0.9171,0.888
53,0.9355,0.864
54,0.9369,0.875
55,0.9274,0.877
56,0.9355,0.844
57,0.9314,0.8855
58,0.9351,0.898
59,0.9258,0.8825
60,0.9302,0.8755
61,0.9354,0.8875
62,0.9378,0.8775
63,0.9401,0.895
64,0.9383,0.8935
65,0.9344,0.8765
66,0.9328,0.884
67,0.9455,0.884
68,0.9336,0.8745
69,0.944,0.897
70,0.9297,0.7955
71,0.9239,0.866
72,0.9429,0.8885
73,0.9479,0.8745
74,0.9453,0.8925
75,0.9547,0.8945
76,0.951,0.8935
77,0.9533,0.86
78,0.9271,0.8945
79,0.9562,0.876
80,0.9421,0.889
81,0.9481,0.885
82,0.9481,0.893
83,0.9394,0.8875
84,0.9548,0.8455
85,0.9576,0.892
86,0.9538,0.8855
87,0.9523,0.875
88,0.9329,0.8775
89,0.946,0.8845
90,0.9409,0.8865
91,0.944,0.885
92,0.9505,0.8855
93,0.9579,0.889
94,0.9479,0.8675
95,0.9497,0.8815
96,0.9558,0.8615
97,0.9547,0.883
98,0.9344,0.8615
99,0.9492,0.8855
100,0.9458,0.8905
101,0.9608,0.889
102,0.956,0.8875
103,0.9613,0.8885
104,0.9676,0.8745
105,0.9646,0.891
106,0.9687,0.894
107,0.9654,0.888
108,0.9296,0.8135
109,0.8915,0.857
110,0.9284,0.877
111,0.9163,0.869
112,0.9325,0.879
113,0.9486,0.888
114,0.9497,0.882
115,0.9564,0.881
116,0.964,0.868
117,0.9597,0.889
118,0.9557,0.8905
119,0.9627,0.883
120,0.9668,0.8845
121,0.9684,0.889
122,0.9702,0.88
123,0.9708,0.886
124,0.9669,0.89
125,0.9584,0.893
126,0.9606,0.8705
127,0.968,0.888
128,0.9747,0.888
129,0.9713,0.86
130,0.9681,0.875
131,0.9731,0.892
132,0.9701,0.886
133,0.9787,0.885
134,0.964,0.8835
135,0.9758,0.8775
136,0.9727,0.8835
137,0.9615,0.8775
138,0.9703,0.89
139,0.9793,0.8895
140,0.9755,0.878
141,0.9786,0.8875
142,0.9779,0.882
143,0.957,0.8745
144,0.968,0.887
145,0.9752,0.8825
146,0.9701,0.885
147,0.9812,0.8795
148,0.9796,0.8845
149,0.9797,0.883
150,0.971,0.881
151,0.9801,0.887
152,0.978,0.8815
153,0.9812,0.8455
154,0.9742,0.879
155,0.9695,0.8735
156,0.9796,0.8785
157,0.9808,0.886
158,0.9847,0.881
159,0.9808,0.8895
160,0.9839,0.8865
161,0.9815,0.881
162,0.9855,0.885
163,0.9461,0.798
164,0.8845,0.8385
165,0.9242,0.8675
166,0.9347,0.8745
167,0.9418,0.875
168,0.9422,0.88
169,0.9518,0.87
170,0.9394,0.875
171,0.9511,0.8365
172,0.9378,0.8845
173,0.951,0.8755
174,0.9593,0.8365
175,0.9499,0.873
176,0.956,0.84
177,0.9491,0.8795
178,0.9601,0.8715
179,0.9643,0.885
180,0.9318,0.885
181,0.9645,0.87
182,0.9636,0.88
183,0.966,0.8845
184,0.9672,0.882
185,0.964,0.8835
186,0.9674,0.8825
187,0.9672,0.8805
188,0.9624,0.7785
189,0.9108,0.86
190,0.9308,0.857
191,0.9369,0.8815
192,0.929,0.8495
193,0.943,0.8585
194,0.9385,0.831
195,0.9455,0.8815
196,0.9435,0.8
197,0.9435,0.884
198,0.9383,0.884
199,0.9552,0.879
200,0.9446,0.8655
