epoch,train acc,test acc,train loss,test loss
1.0,0.5219,0.5255,0.4781000018119812,0.47450000047683716
2.0,0.5359,0.5265,0.4641000032424927,0.47349995374679565
3.0,0.562,0.5335,0.43800002336502075,0.4664999842643738
4.0,0.571,0.552,0.42900002002716064,0.4479999542236328
5.0,0.6106,0.596,0.38940000534057617,0.4039999842643738
6.0,0.6277,0.6095,0.37230002880096436,0.39049994945526123
7.0,0.6344,0.612,0.36559998989105225,0.387999951839447
8.0,0.6427,0.62,0.3573000431060791,0.3799999952316284
9.0,0.6482,0.6215,0.35180002450942993,0.37849998474121094
10.0,0.6513,0.626,0.34869998693466187,0.3739999532699585
11.0,0.6548,0.625,0.3452000021934509,0.375
12.0,0.6596,0.642,0.3404000401496887,0.3579999804496765
13.0,0.6618,0.638,0.33820003271102905,0.3619999885559082
14.0,0.6646,0.6415,0.3354000449180603,0.3584999442100525
15.0,0.6671,0.641,0.3328999876976013,0.35899996757507324
16.0,0.6682,0.6435,0.33180004358291626,0.35649996995925903
17.0,0.6688,0.648,0.3312000036239624,0.35199999809265137
18.0,0.6919,0.6655,0.30810004472732544,0.33449995517730713
19.0,0.6923,0.662,0.3077000379562378,0.33799993991851807
20.0,0.6928,0.661,0.30720001459121704,0.33899998664855957
21.0,0.7039,0.673,0.29610002040863037,0.3269999623298645
22.0,0.706,0.6745,0.2940000295639038,0.325499951839447
23.0,0.7068,0.674,0.2932000160217285,0.3259999752044678
24.0,0.7079,0.6765,0.2921000123023987,0.32349997758865356
25.0,0.7085,0.6755,0.2915000319480896,0.3244999647140503
26.0,0.7118,0.676,0.2882000207901001,0.32399994134902954
27.0,0.7136,0.6735,0.2864000201225281,0.32649993896484375
28.0,0.7221,0.6885,0.2779000401496887,0.3114999532699585
29.0,0.7226,0.6885,0.27740001678466797,0.3114999532699585
30.0,0.7251,0.691,0.27490001916885376,0.3089999556541443
31.0,0.7255,0.6905,0.2745000123977661,0.30949997901916504
32.0,0.7274,0.691,0.272599995136261,0.3089999556541443
33.0,0.728,0.692,0.2720000147819519,0.30799996852874756
34.0,0.7395,0.704,0.2605000138282776,0.2959999442100525
35.0,0.7398,0.706,0.26020002365112305,0.29399996995925903
36.0,0.7402,0.7075,0.2598000168800354,0.29249995946884155
37.0,0.7414,0.7095,0.25859999656677246,0.2904999852180481
38.0,0.7422,0.7085,0.25780004262924194,0.2914999723434448
39.0,0.7457,0.712,0.25429999828338623,0.2879999876022339
40.0,0.7471,0.713,0.25290000438690186,0.2869999408721924
41.0,0.7484,0.7135,0.2516000270843506,0.2864999771118164
42.0,0.7482,0.714,0.251800000667572,0.28599995374679565
43.0,0.7487,0.718,0.25130003690719604,0.28199994564056396
44.0,0.75,0.718,0.25,0.28199994564056396
45.0,0.7579,0.727,0.24210000038146973,0.27299994230270386
46.0,0.7594,0.7285,0.24059998989105225,0.27149999141693115
47.0,0.7599,0.729,0.24010002613067627,0.2709999680519104
48.0,0.7608,0.73,0.23919999599456787,0.26999998092651367
49.0,0.7616,0.73,0.23840004205703735,0.26999998092651367
50.0,0.7625,0.731,0.23750001192092896,0.26899999380111694
51.0,0.7626,0.7315,0.23739999532699585,0.2684999704360962
52.0,0.7638,0.7345,0.23620003461837769,0.26549994945526123
53.0,0.767,0.7385,0.2330000400543213,0.26149994134902954
54.0,0.7679,0.74,0.2321000099182129,0.25999999046325684
55.0,0.7684,0.739,0.23160004615783691,0.26099997758865356
56.0,0.768,0.7435,0.23199999332427979,0.2564999461174011
57.0,0.7696,0.743,0.23040002584457397,0.2569999694824219
58.0,0.7697,0.7435,0.23030000925064087,0.2564999461174011
59.0,0.7695,0.747,0.23050004243850708,0.2529999613761902
60.0,0.7694,0.7475,0.2305999994277954,0.25249993801116943
61.0,0.7713,0.7455,0.22870004177093506,0.25449997186660767
62.0,0.7711,0.7455,0.2289000153541565,0.25449997186660767
63.0,0.7713,0.7465,0.22870004177093506,0.25349998474121094
64.0,0.7719,0.745,0.2281000018119812,0.25499993562698364
65.0,0.773,0.7445,0.22699999809265137,0.2554999589920044
66.0,0.7733,0.7455,0.22670000791549683,0.25449997186660767
67.0,0.7755,0.746,0.22450000047683716,0.2539999485015869
68.0,0.7762,0.7445,0.22380000352859497,0.2554999589920044
69.0,0.7765,0.744,0.22350001335144043,0.25599998235702515
70.0,0.7781,0.7435,0.22190004587173462,0.2564999461174011
71.0,0.7818,0.7465,0.21820002794265747,0.25349998474121094
72.0,0.7821,0.747,0.21790003776550293,0.2529999613761902
73.0,0.782,0.746,0.21799999475479126,0.2539999485015869
74.0,0.7824,0.7475,0.2176000475883484,0.25249993801116943
75.0,0.7828,0.747,0.21720004081726074,0.2529999613761902
76.0,0.7828,0.7475,0.21720004081726074,0.25249993801116943
77.0,0.783,0.7485,0.21700000762939453,0.2514999508857727
78.0,0.7841,0.7525,0.2159000039100647,0.24749994277954102
79.0,0.7846,0.753,0.21540004014968872,0.24699997901916504
80.0,0.7841,0.752,0.2159000039100647,0.24799996614456177
81.0,0.784,0.752,0.2160000205039978,0.24799996614456177
82.0,0.7844,0.752,0.21560001373291016,0.24799996614456177
83.0,0.7848,0.752,0.2152000069618225,0.24799996614456177
84.0,0.7859,0.7525,0.21410000324249268,0.24749994277954102
85.0,0.7861,0.7525,0.21390002965927124,0.24749994277954102
86.0,0.7869,0.758,0.21310001611709595,0.24199998378753662
87.0,0.7876,0.7595,0.21240001916885376,0.24049997329711914
88.0,0.7878,0.758,0.21220004558563232,0.24199998378753662
89.0,0.7876,0.758,0.21240001916885376,0.24199998378753662
90.0,0.788,0.7575,0.2120000123977661,0.2424999475479126
91.0,0.7883,0.758,0.21170002222061157,0.24199998378753662
92.0,0.7888,0.7585,0.21119999885559082,0.24149996042251587
93.0,0.7896,0.757,0.2104000449180603,0.24299997091293335
94.0,0.7896,0.757,0.2104000449180603,0.24299997091293335
95.0,0.7898,0.7565,0.2102000117301941,0.24349993467330933
96.0,0.7896,0.756,0.2104000449180603,0.24399995803833008
97.0,0.7893,0.757,0.21070003509521484,0.24299997091293335
98.0,0.7909,0.759,0.20910000801086426,0.24099993705749512
99.0,0.7922,0.761,0.207800030708313,0.23899996280670166
100.0,0.7923,0.761,0.20770001411437988,0.23899996280670166
101.0,0.7927,0.7625,0.20730000734329224,0.23749995231628418
102.0,0.7927,0.7615,0.20730000734329224,0.2384999394416809
103.0,0.7927,0.7615,0.20730000734329224,0.2384999394416809
104.0,0.7927,0.7625,0.20730000734329224,0.23749995231628418
105.0,0.7928,0.7625,0.20719999074935913,0.23749995231628418
106.0,0.7929,0.762,0.2071000337600708,0.23799997568130493
107.0,0.7935,0.7635,0.20649999380111694,0.23649996519088745
108.0,0.7937,0.764,0.2063000202178955,0.2359999418258667
109.0,0.7938,0.7635,0.2062000036239624,0.23649996519088745
110.0,0.7944,0.762,0.20560002326965332,0.23799997568130493
111.0,0.7944,0.762,0.20560002326965332,0.23799997568130493
