""
epoch,train_acc,test_acc
1,0.573,0.68
2,0.698,0.61375
3,0.803,0.815
4,0.846,0.830625
5,0.859,0.8375
6,0.866,0.84125
7,0.872,0.846875
8,0.88,0.841875
9,0.886,0.85125
10,0.891,0.854375
11,0.891,0.86375
12,0.901,0.8675
13,0.906,0.866875
14,0.912,0.864375
15,0.926,0.866875
16,0.928,0.870625
17,0.931,0.87125
18,0.942,0.875625
19,0.921,0.85875
20,0.926,0.8375
21,0.888,0.87875
22,0.91,0.886875
23,0.944,0.881875
24,0.95,0.881875
25,0.958,0.885
26,0.962,0.89
27,0.97,0.8875
28,0.975,0.890625
29,0.977,0.87375
30,0.946,0.871875
31,0.977,0.891875
32,0.987,0.891875
33,0.959,0.889375
34,0.991,0.890625
35,0.99,0.890625
36,0.983,0.88375
37,0.986,0.89
38,0.992,0.888125
39,0.994,0.894375
40,0.994,0.886875
41,0.993,0.893125
42,0.995,0.8875
43,0.996,0.890625
44,0.997,0.890625
45,0.996,0.8875
46,0.996,0.8925
47,0.996,0.890625
48,0.997,0.888125
49,0.998,0.889375
50,0.997,0.889375
51,0.999,0.88875
52,0.999,0.889375
53,0.999,0.88875
54,0.999,0.89
55,0.999,0.889375
56,0.999,0.888125
57,0.999,0.89
58,0.999,0.8875
59,0.999,0.889375
60,0.999,0.88875
61,0.999,0.886875
62,0.999,0.885625
63,0.999,0.886875
64,0.999,0.888125
65,0.999,0.888125
66,0.999,0.888125
67,0.999,0.88875
68,0.999,0.88625
69,0.999,0.891875
70,0.999,0.885625
71,0.999,0.884375
72,0.999,0.885
73,0.999,0.88375
74,0.999,0.888125
75,0.999,0.885
76,0.999,0.884375
77,0.999,0.884375
78,0.999,0.888125
79,0.999,0.885
80,0.999,0.884375
81,0.999,0.889375
82,0.999,0.88625
83,0.999,0.884375
84,0.999,0.885
85,0.999,0.885625
86,1.0,0.884375
87,1.0,0.88375
88,1.0,0.885
89,1.0,0.885625
90,1.0,0.885625
91,1.0,0.88625
92,1.0,0.886875
93,1.0,0.885
94,1.0,0.88875
95,1.0,0.885625
96,1.0,0.88625
97,1.0,0.88625
98,1.0,0.885625
99,1.0,0.886875
100,1.0,0.8875
101,1.0,0.885
102,1.0,0.885625
103,1.0,0.884375
104,1.0,0.885
105,1.0,0.886875
106,1.0,0.8875
107,1.0,0.88625
108,1.0,0.88625
109,1.0,0.883125
110,1.0,0.8875
111,1.0,0.884375
112,1.0,0.885
113,1.0,0.885625
114,1.0,0.8875
115,1.0,0.884375
116,1.0,0.885
117,1.0,0.885625
118,1.0,0.885
119,1.0,0.885625
120,1.0,0.88625
121,1.0,0.885
122,1.0,0.885625
123,1.0,0.885
124,1.0,0.885
125,1.0,0.885625
126,1.0,0.888125
127,1.0,0.885625
128,1.0,0.88625
129,1.0,0.88625
130,1.0,0.8875
131,1.0,0.885625
132,1.0,0.886875
133,1.0,0.886875
134,1.0,0.885
135,1.0,0.885
136,1.0,0.885
137,1.0,0.88625
138,1.0,0.8875
139,1.0,0.88625
140,1.0,0.885625
141,1.0,0.885625
142,1.0,0.885
143,1.0,0.88625
144,1.0,0.886875
145,1.0,0.885625
146,1.0,0.885
147,1.0,0.885625
148,1.0,0.88625
149,1.0,0.885625
150,1.0,0.885
151,1.0,0.885
152,1.0,0.88625
153,1.0,0.886875
154,1.0,0.88625
155,1.0,0.885625
156,1.0,0.884375
157,1.0,0.884375
158,1.0,0.886875
159,1.0,0.886875
160,1.0,0.885625
161,1.0,0.886875
162,1.0,0.885625
163,1.0,0.886875
164,1.0,0.885625
165,1.0,0.886875
166,1.0,0.886875
167,1.0,0.8875
168,1.0,0.885625
169,1.0,0.886875
170,1.0,0.884375
171,1.0,0.885
172,1.0,0.885
173,1.0,0.886875
174,1.0,0.885
175,1.0,0.885
176,1.0,0.885
177,1.0,0.886875
178,1.0,0.885
179,1.0,0.886875
180,1.0,0.885625
181,1.0,0.88625
182,1.0,0.885
183,1.0,0.885
184,1.0,0.885
185,1.0,0.886875
186,1.0,0.885625
187,1.0,0.886875
188,1.0,0.88625
189,1.0,0.886875
190,1.0,0.885625
191,1.0,0.885625
192,1.0,0.885625
193,1.0,0.885
194,1.0,0.88625
195,1.0,0.885625
196,1.0,0.885625
197,1.0,0.88625
198,1.0,0.8875
199,1.0,0.88625
200,1.0,0.88625
