""
epoch,train_acc,test_acc
1,0.606,0.77375
2,0.766,0.855625
3,0.862,0.871875
4,0.875,0.880625
5,0.881,0.87875
6,0.888,0.88
7,0.891,0.880625
8,0.892,0.889375
9,0.899,0.8875
10,0.907,0.8875
11,0.912,0.9
12,0.913,0.90125
13,0.917,0.903125
14,0.907,0.904375
15,0.922,0.90125
16,0.913,0.90625
17,0.927,0.9
18,0.926,0.906875
19,0.911,0.9075
20,0.932,0.89375
21,0.934,0.886875
22,0.922,0.903125
23,0.941,0.900625
24,0.939,0.911875
25,0.944,0.904375
26,0.943,0.90625
27,0.949,0.911875
28,0.952,0.905625
29,0.957,0.903125
30,0.95,0.904375
31,0.958,0.909375
32,0.943,0.883125
33,0.949,0.910625
34,0.949,0.885
35,0.961,0.899375
36,0.954,0.91125
37,0.965,0.9075
38,0.971,0.899375
39,0.97,0.9025
40,0.967,0.908125
41,0.969,0.908125
42,0.973,0.908125
43,0.972,0.909375
44,0.975,0.89125
45,0.974,0.906875
46,0.976,0.9075
47,0.976,0.903125
48,0.974,0.898125
49,0.975,0.91
50,0.966,0.89625
51,0.912,0.88125
52,0.881,0.865625
53,0.934,0.898125
54,0.932,0.90125
55,0.953,0.906875
56,0.966,0.905
57,0.955,0.895625
58,0.975,0.91
59,0.971,0.905625
60,0.977,0.9125
61,0.976,0.9075
62,0.978,0.9
63,0.979,0.89625
64,0.98,0.87875
65,0.89,0.90625
66,0.965,0.913125
67,0.958,0.90625
68,0.973,0.915
69,0.965,0.9075
70,0.963,0.90875
71,0.98,0.899375
72,0.978,0.91125
73,0.978,0.909375
74,0.979,0.9075
75,0.979,0.910625
76,0.981,0.898125
77,0.98,0.90875
78,0.98,0.9125
79,0.982,0.91
80,0.982,0.90875
81,0.982,0.9075
82,0.982,0.906875
83,0.982,0.905
84,0.982,0.911875
85,0.982,0.908125
86,0.982,0.90875
87,0.982,0.90875
88,0.982,0.9075
89,0.982,0.905625
90,0.982,0.9075
91,0.982,0.903125
92,0.983,0.906875
93,0.983,0.91
94,0.983,0.90625
95,0.983,0.9075
96,0.983,0.905
97,0.983,0.908125
98,0.983,0.90875
99,0.983,0.905625
100,0.983,0.904375
101,0.983,0.905625
102,0.983,0.905625
103,0.983,0.90625
104,0.983,0.908125
105,0.983,0.908125
106,0.984,0.908125
107,0.984,0.905
108,0.984,0.91
109,0.984,0.906875
110,0.984,0.905
111,0.984,0.908125
112,0.984,0.905625
113,0.984,0.90875
114,0.984,0.908125
115,0.984,0.905625
116,0.984,0.905625
117,0.984,0.900625
118,0.984,0.908125
119,0.984,0.905625
120,0.984,0.905
121,0.984,0.9075
122,0.984,0.90375
123,0.984,0.904375
124,0.984,0.90875
125,0.984,0.90625
126,0.984,0.90875
127,0.984,0.9075
128,0.984,0.90625
129,0.984,0.90875
130,0.984,0.905
131,0.984,0.9075
132,0.984,0.903125
133,0.984,0.9075
134,0.984,0.9075
135,0.984,0.905625
136,0.984,0.905625
137,0.985,0.908125
138,0.985,0.906875
139,0.985,0.909375
140,0.985,0.906875
141,0.985,0.908125
142,0.985,0.905625
143,0.985,0.908125
144,0.985,0.909375
145,0.985,0.90625
146,0.985,0.90625
147,0.986,0.9075
148,0.986,0.905625
149,0.986,0.908125
150,0.986,0.90875
151,0.986,0.906875
152,0.986,0.908125
153,0.987,0.90375
154,0.986,0.908125
155,0.986,0.905625
156,0.987,0.90625
157,0.987,0.90875
158,0.987,0.9075
159,0.987,0.90625
160,0.988,0.905625
161,0.988,0.9075
162,0.987,0.9075
163,0.987,0.90625
164,0.988,0.90625
165,0.988,0.9075
166,0.988,0.90625
167,0.988,0.909375
168,0.988,0.90625
169,0.988,0.90625
170,0.988,0.906875
171,0.988,0.909375
172,0.988,0.906875
173,0.988,0.9075
174,0.988,0.905625
175,0.988,0.90625
176,0.988,0.90875
177,0.988,0.909375
178,0.988,0.908125
179,0.988,0.90625
180,0.988,0.90625
181,0.988,0.906875
182,0.988,0.9075
183,0.988,0.90625
184,0.988,0.906875
185,0.988,0.9075
186,0.988,0.905625
187,0.988,0.9075
188,0.988,0.905625
189,0.988,0.905625
190,0.988,0.906875
191,0.988,0.9075
192,0.988,0.9075
193,0.988,0.908125
194,0.988,0.9075
195,0.988,0.908125
196,0.988,0.905
197,0.988,0.909375
198,0.988,0.90625
199,0.988,0.905
200,0.988,0.905625
