classes,cnnbcebp,cnnbceban,cnn01abp
0 vs 1,98.23 (97.60),98.00 (96.90),99.78 (96.45)
0 vs 2,94.39 (92.35),93.58 (92.75),99.08 (92.05)
0 vs 3,97.09 (96.00),96.42 (95.70),99.87 (95.55)
0 vs 4,97.15 (96.35),96.89 (96.10),99.92 (95.80)
0 vs 5,97.95 (97.10),97.71 (96.80),99.96 (96.70)
0 vs 6,98.12 (98.05),97.83 (97.65),99.98 (97.85)
0 vs 7,97.84 (96.45),97.22 (96.65),99.96 (96.20)
0 vs 8,96.63 (94.35),94.71 (93.25),99.48 (92.85)
0 vs 9,96.95 (95.55),96.50 (94.90),99.80 (95.10)
1 vs 2,98.81 (98.35),98.67 (98.60),99.98 (98.25)
1 vs 3,98.40 (97.70),98.65 (97.95),99.96 (97.00)
1 vs 4,99.08 (98.70),99.23 (98.85),100.00 (98.75)
1 vs 5,98.81 (98.50),99.23 (99.05),99.99 (98.45)
1 vs 6,98.77 (98.85),98.75 (98.55),99.97 (98.55)
1 vs 7,99.25 (98.95),99.17 (99.05),100.00 (98.60)
1 vs 8,97.61 (97.35),97.35 (96.85),99.90 (95.40)
1 vs 9,96.13 (94.25),95.04 (94.10),99.21 (92.65)
2 vs 3,91.91 (88.65),89.45 (86.80),99.05 (87.55)
2 vs 4,93.84 (90.65),90.26 (87.30),98.46 (87.95)
2 vs 5,93.41 (90.90),91.25 (88.85),99.28 (89.80)
2 vs 6,93.98 (93.25),92.55 (91.25),99.07 (92.25)
2 vs 7,95.52 (93.60),94.56 (92.75),99.73 (93.60)
2 vs 8,97.96 (96.95),97.33 (96.45),99.97 (96.25)
2 vs 9,98.08 (97.45),98.33 (97.40),99.93 (96.85)
3 vs 4,93.18 (91.70),91.82 (90.05),99.27 (89.95)
3 vs 5,87.58 (83.25),79.97 (78.65),96.51 (78.80)
3 vs 6,92.89 (91.90),91.75 (91.20),98.72 (92.10)
3 vs 7,95.23 (93.00),94.10 (92.20),99.45 (92.35)
3 vs 8,97.82 (96.80),97.39 (96.90),99.98 (96.70)
3 vs 9,97.44 (96.40),97.95 (97.00),99.77 (95.65)
4 vs 5,93.92 (92.50),92.02 (90.10),99.14 (91.30)
4 vs 6,95.93 (94.45),95.04 (94.50),99.70 (92.95)
4 vs 7,94.52 (92.10),92.72 (91.20),99.07 (91.60)
4 vs 8,98.44 (97.65),97.98 (97.50),100.00 (97.30)
4 vs 9,98.78 (98.40),98.47 (97.80),99.98 (98.15)
5 vs 6,95.78 (94.90),95.54 (94.60),99.62 (94.40)
5 vs 7,94.67 (93.25),92.87 (91.65),99.57 (91.15)
5 vs 8,98.56 (97.70),98.33 (97.60),100.00 (97.40)
5 vs 9,97.89 (97.85),98.44 (97.65),99.93 (97.00)
6 vs 7,98.20 (97.35),98.42 (97.90),99.93 (97.35)
6 vs 8,98.70 (98.25),98.63 (98.15),100.00 (97.95)
6 vs 9,98.80 (98.85),98.82 (98.55),99.93 (98.30)
7 vs 8,99.03 (98.55),98.52 (98.00),100.00 (97.90)
7 vs 9,98.46 (98.00),98.17 (97.90),99.82 (96.95)
8 vs 9,97.28 (96.30),97.18 (96.10),99.89 (95.15)
