classes,cnnbcebp,cnnbceban,cnn01abp
0 vs 1,57.07321428571429,78.98928571428571,87.3857142857143
0 vs 2,26.8625,62.47589285714285,72.08392857142857
0 vs 3,48.278571428571425,75.06428571428572,84.29910714285714
0 vs 4,25.441071428571426,54.676785714285714,75.29732142857142
0 vs 5,49.50892857142858,73.39732142857143,86.51875
0 vs 6,67.575,79.54642857142858,86.47410714285714
0 vs 7,39.04107142857143,68.85892857142856,83.97678571428571
0 vs 8,20.817857142857147,51.06875000000001,71.72946428571429
0 vs 9,53.11607142857142,72.70625000000001,83.22857142857141
1 vs 2,51.20446428571429,83.74732142857142,87.61696428571429
1 vs 3,45.96160714285715,80.14107142857144,84.54375
1 vs 4,35.85982142857142,75.78214285714286,86.98660714285715
1 vs 5,48.1875,82.31160714285714,88.84642857142858
1 vs 6,53.15446428571428,78.55535714285715,88.80089285714286
1 vs 7,50.082142857142856,82.29642857142858,89.60267857142856
1 vs 8,31.659821428571433,66.79285714285713,80.28928571428573
1 vs 9,24.095535714285717,53.10089285714285,73.25535714285715
2 vs 3,15.267857142857144,38.37410714285714,62.324107142857144
2 vs 4,9.175,30.156250000000007,57.297321428571436
2 vs 5,21.4625,43.16964285714286,67.40982142857142
2 vs 6,27.120535714285715,54.72053571428571,69.06607142857142
2 vs 7,22.43482142857143,51.525,71.74910714285716
2 vs 8,45.06071428571428,73.18035714285715,84.26607142857144
2 vs 9,50.702678571428564,78.66875,85.53035714285716
3 vs 4,18.174107142857146,39.121428571428574,66.14464285714286
3 vs 5,6.277678571428572,21.848214285714285,54.57946428571429
3 vs 6,28.30803571428571,51.44196428571428,66.80892857142857
3 vs 7,9.567857142857143,36.73482142857143,63.34107142857144
3 vs 8,54.06071428571428,74.33571428571429,87.26339285714285
3 vs 9,42.82678571428571,72.05625,79.37142857142857
4 vs 5,28.916071428571428,49.71160714285715,70.47857142857143
4 vs 6,11.64732142857143,42.629464285714285,64.32142857142857
4 vs 7,9.083035714285714,41.98571428571429,65.49821428571428
4 vs 8,46.534821428571426,71.58839285714286,83.91875
4 vs 9,38.18839285714286,76.26785714285714,83.66428571428573
5 vs 6,32.535714285714285,48.53125,69.05446428571429
5 vs 7,13.49017857142857,37.93660714285714,67.50446428571429
5 vs 8,66.38214285714287,78.35803571428572,89.7375
5 vs 9,50.90714285714285,76.23035714285716,83.2375
6 vs 7,24.22232142857143,59.974107142857136,77.26785714285714
6 vs 8,63.447321428571435,79.81428571428573,88.81160714285714
6 vs 9,50.926785714285714,76.08392857142857,86.75535714285714
7 vs 8,50.72321428571429,73.29732142857142,89.19464285714285
7 vs 9,37.51785714285714,69.74732142857142,83.69821428571429
8 vs 9,39.1,64.47321428571429,77.40982142857142
