target,cnnbceban,cnn01abp,cnnbcebp,cnn01abp,cnnbcebp,cnnbceban
0 vs 1,46.2,67.2,71.1,79.95,90.64999999999999,88.14999999999999
0 vs 2,28.299999999999997,34.25,38.95,44.4,68.10000000000001,69.1
0 vs 3,45.6,56.3,59.5,67.25,83.15,82.0
0 vs 4,21.349999999999998,34.0,31.95,43.15,73.05,70.5
0 vs 5,42.55,53.300000000000004,56.8,65.55,85.9,84.75
0 vs 6,58.8,62.9,67.95,71.1,90.2,89.45
0 vs 7,33.300000000000004,45.300000000000004,45.550000000000004,59.35,84.39999999999999,83.65
0 vs 8,15.7,27.150000000000002,35.35,41.699999999999996,69.3,63.449999999999996
0 vs 9,42.75,61.7,61.7,71.35000000000001,85.45,82.3
1 vs 2,46.9,56.45,76.05,78.55,89.55,88.55
1 vs 3,40.849999999999994,55.1,69.45,72.95,83.7,83.65
1 vs 4,32.35,45.1,59.9,66.0,84.5,84.8
1 vs 5,41.3,56.2,70.1,76.85,87.2,89.14999999999999
1 vs 6,36.9,48.0,66.2,71.39999999999999,89.64999999999999,88.2
1 vs 7,36.4,52.7,73.75,77.4,91.0,89.2
1 vs 8,20.1,36.55,50.449999999999996,56.49999999999999,80.4,77.3
1 vs 9,12.5,39.7,31.75,53.349999999999994,77.75,71.95
2 vs 3,9.049999999999999,21.9,16.05,27.750000000000004,56.35,50.64999999999999
2 vs 4,4.95,11.600000000000001,12.950000000000001,20.75,50.2,43.65
2 vs 5,10.35,23.849999999999998,22.900000000000002,34.75,65.2,58.650000000000006
2 vs 6,16.45,30.55,34.2,45.2,65.4,63.55
2 vs 7,12.15,27.0,36.4,45.45,70.0,63.2
2 vs 8,43.45,57.15,56.8,64.2,84.5,83.0
2 vs 9,36.9,61.150000000000006,69.25,76.05,85.8,84.85000000000001
3 vs 4,13.600000000000001,23.75,18.15,30.75,58.45,54.6
3 vs 5,5.1,13.450000000000001,7.449999999999999,11.75,46.45,40.400000000000006
3 vs 6,13.100000000000001,25.45,33.75,39.95,63.4,57.4
3 vs 7,3.9,13.15,18.15,26.1,55.400000000000006,49.4
3 vs 8,42.699999999999996,58.75,63.2,68.05,88.7,86.75
3 vs 9,24.099999999999998,43.6,60.4,66.4,76.44999999999999,77.8
4 vs 5,22.6,28.849999999999998,28.349999999999998,35.099999999999994,70.15,66.64999999999999
4 vs 6,2.8000000000000003,15.4,21.3,34.4,62.1,57.8
4 vs 7,5.25,15.0,17.849999999999998,27.05,59.4,55.00000000000001
4 vs 8,40.400000000000006,54.1,62.2,66.3,87.25,80.0
4 vs 9,30.099999999999998,47.05,61.25000000000001,66.95,82.75,82.19999999999999
5 vs 6,16.650000000000002,27.500000000000004,28.95,36.75,65.4,62.2
5 vs 7,5.75,21.25,20.4,28.199999999999996,66.95,57.3
5 vs 8,52.300000000000004,65.25,71.39999999999999,74.4,91.14999999999999,89.45
5 vs 9,28.9,50.8,64.14999999999999,70.25,83.25,84.1
6 vs 7,11.600000000000001,29.15,44.800000000000004,53.6,76.44999999999999,69.8
6 vs 8,54.1,59.85,70.75,70.45,91.05,87.5
6 vs 9,26.1,41.349999999999994,62.4,62.8,89.35,84.75
7 vs 8,45.1,57.8,59.85,68.05,90.60000000000001,88.64999999999999
7 vs 9,24.85,45.300000000000004,52.349999999999994,64.25,83.75,81.55
8 vs 9,26.3,44.65,52.2,58.9,77.95,76.14999999999999
