 class , CNN-BCE-BP , CNN-BCE-BAN_ban , CNN-01-ABP 
 0 vs 1 ,1.652,5.919,5.167
 0 vs 2 ,1.109,5.802,5.163
 0 vs 3 ,1.715,7.043,5.785
 0 vs 4 ,1.176,5.015,4.464
 0 vs 5 ,1.57,6.668,6.055
 0 vs 6 ,1.918,5.655,5.11
 0 vs 7 ,1.628,7.621,6.627
 0 vs 8 ,1.038,5.627,5.163
 0 vs 9 ,1.294,4.607,3.813
 1 vs 2 ,1.641,5.94,5.048
 1 vs 3 ,1.387,4.872,5.057
 1 vs 4 ,1.37,6.207,5.503
 1 vs 5 ,1.732,5.476,5.197
 1 vs 6 ,1.81,6.761,6.396
 1 vs 7 ,1.685,6.385,6.574
 1 vs 8 ,1.207,5.351,4.907
 1 vs 9 ,0.907,4.123,3.97
 2 vs 3 ,0.788,3.6,2.879
 2 vs 4 ,0.583,3.544,3.211
 2 vs 5 ,0.792,3.817,3.764
 2 vs 6 ,0.881,3.388,3.009
 2 vs 7 ,1.059,4.346,4.673
 2 vs 8 ,1.606,6.397,5.58
 2 vs 9 ,1.47,5.972,5.053
 3 vs 4 ,0.74,3.761,4.044
 3 vs 5 ,0.583,3.607,2.576
 3 vs 6 ,0.951,3.486,3.224
 3 vs 7 ,0.824,4.423,4.682
 3 vs 8 ,1.806,6.63,5.876
 3 vs 9 ,1.406,4.986,4.882
 4 vs 5 ,1.068,4.588,4.357
 4 vs 6 ,0.781,3.451,3.367
 4 vs 7 ,0.7,3.845,3.902
 4 vs 8 ,1.546,6.745,6.611
 4 vs 9 ,1.365,6.329,5.588
 5 vs 6 ,0.979,4.039,3.222
 5 vs 7 ,0.86,4.756,4.59
 5 vs 8 ,1.918,6.437,5.824
 5 vs 9 ,1.679,5.41,4.749
 6 vs 7 ,1.234,4.307,4.049
 6 vs 8 ,2.008,5.523,5.35
 6 vs 9 ,1.506,5.225,5.05
 7 vs 8 ,1.621,6.466,6.46
 7 vs 9 ,1.159,5.246,5.277
 8 vs 9 ,1.192,4.18,3.768
