classes,cnnbcebp,cnnbceban,cnn01abp
0 vs 1,41.793749999999996,72.25357142857143,89.08660714285713
0 vs 2,16.933928571428574,53.51517857142857,72.05089285714286
0 vs 3,37.53303571428571,65.43482142857142,84.75982142857143
0 vs 4,16.086607142857144,42.95535714285714,78.65892857142859
0 vs 5,37.385714285714286,62.748214285714276,88.06428571428572
0 vs 6,53.78660714285714,72.47589285714285,90.16785714285714
0 vs 7,30.856249999999996,56.61875,86.59821428571429
0 vs 8,12.164285714285713,38.47678571428572,70.47321428571428
0 vs 9,36.26875,65.875,86.04375
1 vs 2,39.77857142857143,81.44910714285714,88.25
1 vs 3,31.471428571428568,77.79821428571428,85.32589285714286
1 vs 4,27.033035714285713,70.17232142857142,88.31517857142856
1 vs 5,35.35267857142857,77.74732142857142,90.20625000000001
1 vs 6,35.61696428571429,70.95714285714287,90.72767857142857
1 vs 7,39.66964285714286,75.81607142857143,91.12053571428571
1 vs 8,19.976785714285718,58.27232142857143,82.38482142857143
1 vs 9,12.230357142857143,43.94375,75.86874999999999
2 vs 3,6.380357142857143,23.845535714285717,60.7375
2 vs 4,2.965178571428571,12.254464285714285,54.66517857142858
2 vs 5,12.235714285714286,30.977678571428573,67.02321428571429
2 vs 6,13.68660714285714,44.975,71.39553571428571
2 vs 7,14.60357142857143,41.869642857142864,72.675
2 vs 8,30.625892857142862,63.53035714285714,84.80982142857142
2 vs 9,37.840178571428574,74.13482142857143,88.2669642857143
3 vs 4,7.209821428571428,22.135714285714283,66.70982142857142
3 vs 5,2.3491071428571426,16.816964285714285,52.61964285714286
3 vs 6,14.617857142857144,39.854464285714286,69.72500000000001
3 vs 7,5.3392857142857135,25.12946428571429,66.29374999999999
3 vs 8,42.70535714285714,63.086607142857154,89.02142857142856
3 vs 9,26.801785714285714,69.32232142857143,84.24196428571429
4 vs 5,14.352678571428571,37.00714285714285,69.9875
4 vs 6,4.362500000000001,25.82946428571428,67.36696428571427
4 vs 7,4.373214285714287,35.68571428571429,63.99464285714285
4 vs 8,31.974107142857143,61.70089285714286,84.59910714285715
4 vs 9,26.55357142857143,72.34107142857142,88.45446428571428
5 vs 6,13.876785714285717,36.44196428571429,74.48125
5 vs 7,6.295535714285714,26.108035714285716,69.31071428571427
5 vs 8,53.088392857142864,66.71607142857144,90.37946428571429
5 vs 9,36.78928571428571,72.53214285714286,88.42410714285714
6 vs 7,13.39642857142857,51.767857142857146,78.29553571428572
6 vs 8,50.175000000000004,72.07499999999999,89.9875
6 vs 9,34.81160714285715,68.77678571428572,88.66696428571427
7 vs 8,37.28571428571429,59.90803571428571,89.95714285714287
7 vs 9,27.31339285714286,63.14464285714286,86.47678571428571
8 vs 9,22.37410714285714,55.13035714285714,81.85446428571427
