classes,cnnbcebp,cnnbceban,cnn01abp
0 vs 1,0.9823,0.98,0.9978
0 vs 2,0.9439,0.9358,0.9908
0 vs 3,0.9709,0.9642,0.9987
0 vs 4,0.9715,0.9689,0.9992
0 vs 5,0.9795,0.9771,0.9996
0 vs 6,0.9812,0.9783,0.9998
0 vs 7,0.9784,0.9722,0.9996
0 vs 8,0.9663,0.9471,0.9948
0 vs 9,0.9695,0.965,0.998
1 vs 2,0.9881,0.9867,0.9998
1 vs 3,0.984,0.9865,0.9996
1 vs 4,0.9908,0.9923,1
1 vs 5,0.9881,0.9923,0.9999
1 vs 6,0.9877,0.9875,0.9997
1 vs 7,0.9925,0.9917,1
1 vs 8,0.9761,0.9735,0.999
1 vs 9,0.9613,0.9504,0.9921
2 vs 3,0.9191,0.8945,0.9905
2 vs 4,0.9384,0.9026,0.9846
2 vs 5,0.9341,0.9125,0.9928
2 vs 6,0.9398,0.9255,0.9907
2 vs 7,0.9552,0.9456,0.9973
2 vs 8,0.9796,0.9733,0.9997
2 vs 9,0.9808,0.9833,0.9993
3 vs 4,0.9318,0.9182,0.9927
3 vs 5,0.8758,0.7997,0.9651
3 vs 6,0.9289,0.9175,0.9872
3 vs 7,0.9523,0.941,0.9945
3 vs 8,0.9782,0.9739,0.9998
3 vs 9,0.9744,0.9795,0.9977
4 vs 5,0.9392,0.9202,0.9914
4 vs 6,0.9593,0.9504,0.997
4 vs 7,0.9452,0.9272,0.9907
4 vs 8,0.9844,0.9798,1
4 vs 9,0.9878,0.9847,0.9998
5 vs 6,0.9578,0.9554,0.9962
5 vs 7,0.9467,0.9287,0.9957
5 vs 8,0.9856,0.9833,1
5 vs 9,0.9789,0.9844,0.9993
6 vs 7,0.982,0.9842,0.9993
6 vs 8,0.987,0.9863,1
6 vs 9,0.988,0.9882,0.9993
7 vs 8,0.9903,0.9852,1
7 vs 9,0.9846,0.9817,0.9982
8 vs 9,0.9728,0.9718,0.9989
,,,
,96.64466667,95.84022222,99.61355556
,1,0.997658556,1.015779293
