classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,95.04 (90.75),97.26 (87.90),90.24 (85.40),92.92 (89.45)
0 vs 2,90.40 (85.25),92.34 (84.20),85.52 (80.80),90.28 (85.25)
0 vs 3,97.25 (90.35),95.65 (88.45),89.56 (85.55),93.53 (88.95)
0 vs 4,95.20 (89.80),94.52 (88.30),88.87 (86.00),92.98 (88.70)
0 vs 5,97.45 (90.90),97.11 (89.25),91.02 (86.30),94.66 (90.65)
0 vs 6,97.18 (93.40),97.28 (92.00),93.51 (90.70),96.22 (92.70)
0 vs 7,96.65 (90.25),97.27 (88.20),89.90 (85.40),93.80 (89.65)
0 vs 8,92.28 (83.25),92.66 (81.75),84.27 (78.90),88.45 (82.95)
0 vs 9,93.83 (88.55),96.27 (85.05),89.69 (84.85),92.75 (87.25)
1 vs 2,98.32 (92.25),98.05 (89.55),93.67 (89.45),96.48 (92.00)
1 vs 3,96.63 (91.10),98.04 (89.45),92.00 (87.35),96.17 (91.15)
1 vs 4,98.65 (93.85),98.32 (91.75),94.37 (90.50),97.32 (93.50)
1 vs 5,99.52 (93.10),98.32 (90.35),92.64 (88.10),96.72 (92.50)
1 vs 6,99.33 (94.60),98.82 (92.10),95.66 (92.65),98.04 (94.50)
1 vs 7,98.77 (92.65),98.70 (89.80),92.16 (88.50),96.63 (92.55)
1 vs 8,93.73 (87.40),96.20 (86.35),89.44 (84.10),93.50 (86.95)
1 vs 9,88.31 (77.50),91.02 (76.20),78.70 (70.75),85.33 (76.60)
2 vs 3,86.88 (77.20),87.00 (75.95),83.73 (74.90),84.73 (77.65)
2 vs 4,87.81 (74.25),88.97 (72.90),76.51 (66.65),81.81 (73.40)
2 vs 5,85.45 (77.95),90.29 (77.15),83.10 (73.80),85.30 (77.65)
2 vs 6,91.45 (83.20),92.94 (81.65),83.16 (76.90),87.18 (82.25)
2 vs 7,90.20 (83.95),93.66 (82.25),86.27 (79.85),89.27 (83.45)
2 vs 8,97.29 (91.65),97.33 (90.65),91.70 (86.95),95.15 (91.75)
2 vs 9,96.86 (91.80),97.24 (89.80),93.02 (89.35),94.95 (91.85)
3 vs 4,92.30 (80.50),93.13 (79.40),85.92 (78.85),88.19 (80.55)
3 vs 5,79.13 (65.20),74.02 (63.50),70.53 (62.60),76.88 (65.70)
3 vs 6,85.67 (80.45),90.05 (79.50),83.38 (77.80),86.10 (80.65)
3 vs 7,92.43 (83.10),95.59 (81.90),85.35 (79.25),89.64 (83.05)
3 vs 8,95.55 (91.35),97.32 (89.65),92.25 (87.55),95.40 (91.45)
3 vs 9,97.75 (90.25),96.82 (87.75),89.94 (84.55),93.94 (88.85)
4 vs 5,91.36 (80.95),93.27 (78.20),85.42 (78.45),88.22 (80.15)
4 vs 6,92.61 (82.05),93.63 (80.55),83.20 (76.20),87.62 (79.90)
4 vs 7,90.97 (82.80),93.21 (80.90),84.64 (78.45),89.00 (82.70)
4 vs 8,94.35 (91.40),95.86 (90.70),93.13 (88.65),95.15 (91.25)
4 vs 9,97.67 (92.60),97.33 (90.55),93.21 (88.65),95.67 (92.60)
5 vs 6,94.08 (84.20),93.14 (81.85),86.01 (80.30),89.55 (84.50)
5 vs 7,90.73 (82.85),92.64 (80.80),84.78 (76.70),88.55 (82.80)
5 vs 8,98.73 (92.05),97.65 (90.20),92.84 (88.50),96.59 (92.10)
5 vs 9,96.77 (90.75),96.52 (89.00),91.59 (86.70),95.17 (91.00)
6 vs 7,96.95 (91.30),97.60 (89.45),91.22 (86.40),94.39 (89.75)
6 vs 8,98.33 (94.85),98.36 (93.95),96.16 (92.70),97.82 (95.05)
6 vs 9,99.10 (93.25),97.89 (90.90),93.99 (90.15),96.69 (93.20)
7 vs 8,97.79 (92.40),98.23 (90.95),93.97 (88.95),96.46 (92.55)
7 vs 9,96.76 (89.50),96.28 (87.35),90.64 (85.70),93.84 (89.45)
8 vs 9,95.52 (86.95),95.89 (86.10),90.46 (83.15),92.82 (87.10)
