classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,6.015178571428572,4.98125,79.81160714285716,69.75982142857143
0 vs 2,1.45,3.352678571428571,76.99732142857142,56.627678571428575
0 vs 3,4.495535714285714,14.43392857142857,80.97500000000001,70.91607142857143
0 vs 4,0.8741071428571427,5.316964285714286,82.55267857142857,63.475
0 vs 5,3.990178571428572,10.823214285714286,82.59107142857142,72.77767857142857
0 vs 6,3.813392857142857,16.3,86.99732142857144,73.25982142857143
0 vs 7,1.7455357142857144,3.5205357142857143,80.55625,63.70357142857143
0 vs 8,1.2732142857142859,2.2946428571428568,69.24285714285713,44.61607142857143
0 vs 9,10.590178571428572,5.2749999999999995,75.76696428571428,62.5
1 vs 2,3.459821428571429,7.616071428571428,82.41160714285715,72.5125
1 vs 3,6.616071428571428,7.683928571428571,80.03392857142858,71.85446428571429
1 vs 4,2.674107142857143,5.294642857142857,83.60803571428572,75.97232142857143
1 vs 5,2.694642857142857,7.03125,82.28035714285714,74.38035714285715
1 vs 6,1.6499999999999997,8.597321428571428,85.37946428571429,76.44017857142858
1 vs 7,3.917857142857143,7.030357142857143,81.95714285714286,72.12142857142857
1 vs 8,6.897321428571428,4.047321428571428,76.78125,57.65625
1 vs 9,0.9598214285714288,2.888392857142857,65.35089285714285,42.62499999999999
2 vs 3,3.482142857142857,12.052678571428572,65.74375,51.53928571428572
2 vs 4,0.6705357142857143,0.8687500000000001,60.45803571428571,32.236607142857146
2 vs 5,3.5214285714285714,6.322321428571429,66.88750000000002,48.78928571428572
2 vs 6,1.325,2.44375,70.54375,43.76696428571428
2 vs 7,0.7098214285714285,2.3660714285714284,72.25535714285715,45.588392857142864
2 vs 8,2.725,10.209821428571427,82.47589285714285,67.46696428571427
2 vs 9,4.874999999999999,11.65625,81.88303571428571,67.39553571428571
3 vs 4,1.1223214285714285,3.0946428571428575,71.33392857142857,51.621428571428574
3 vs 5,1.1080357142857142,12.280357142857143,57.94017857142857,31.390178571428567
3 vs 6,3.3312500000000003,4.987500000000001,70.35714285714286,50.6375
3 vs 7,1.1178571428571427,1.9035714285714285,70.46964285714286,38.471428571428575
3 vs 8,9.112499999999999,14.42589285714286,83.17499999999998,73.69285714285715
3 vs 9,3.5124999999999997,8.450892857142858,78.60535714285713,66.22410714285714
4 vs 5,3.8017857142857143,6.166071428571429,71.22857142857144,55.707142857142856
4 vs 6,0.5026785714285714,2.282142857142857,67.41250000000001,37.32142857142857
4 vs 7,0.4464285714285714,1.8178571428571428,67.09196428571428,44.28125
4 vs 8,6.550000000000001,16.641964285714288,84.28660714285714,65.30714285714286
4 vs 9,4.08482142857143,10.949107142857143,82.43660714285716,69.21071428571427
5 vs 6,1.2419642857142856,3.086607142857143,73.55267857142857,54.895535714285714
5 vs 7,1.3133928571428573,3.0160714285714287,69.90803571428572,41.76339285714286
5 vs 8,5.15625,16.87589285714286,84.06071428571428,75.13125
5 vs 9,4.590178571428572,13.991071428571427,82.22410714285714,71.83035714285714
6 vs 7,1.9839285714285715,2.430357142857143,78.10535714285713,51.568749999999994
6 vs 8,11.425892857142857,19.677678571428572,89.05892857142858,73.47857142857143
6 vs 9,3.3678571428571433,10.809821428571428,83.51964285714286,71.8607142857143
7 vs 8,5.883035714285715,8.152678571428572,83.9044642857143,66.42857142857143
7 vs 9,3.6866071428571434,9.600892857142858,78.68214285714285,60.90714285714285
8 vs 9,1.9232142857142858,4.880357142857142,74.90357142857142,55.87589285714285
