target,mlpbceban,mlp01scd,mlpbcescd,mlpbcebp,mlp01scd,mlpbcescd,mlpbcebp,mlpbceban,mlpbcescd,mlpbcebp,mlpbceban,mlp01scd
0 vs 1,0.8,66.85,5.4,3.55,68.35,6.4,81.55,74.85000000000001,73.9,39.15,27.700000000000003,71.35000000000001
0 vs 2,0.15,65.60000000000001,0.3,0.35000000000000003,65.2,0.44999999999999996,78.3,77.55,76.25,21.25,17.25,64.35
0 vs 3,4.8500000000000005,74.65,6.75,2.9000000000000004,71.25,8.3,86.7,83.95,70.89999999999999,36.6,42.25,70.85000000000001
0 vs 4,0.7000000000000001,75.44999999999999,0.8,0.6,74.45,1.4000000000000001,82.65,82.5,71.1,21.2,28.1,73.05
0 vs 5,2.35,75.8,7.449999999999999,2.4,72.75,10.9,90.0,87.35000000000001,84.3,37.65,39.95,72.3
0 vs 6,2.15,74.95,4.95,6.7,72.25,12.049999999999999,89.05,86.4,80.95,45.2,48.1,77.75
0 vs 7,0.7000000000000001,72.3,3.9,0.8500000000000001,72.95,3.95,81.75,79.05,83.1,26.8,22.35,70.39999999999999
0 vs 8,0.2,50.05,0.5499999999999999,0.3,49.3,0.8,68.60000000000001,68.7,54.1,10.5,10.75,46.400000000000006
0 vs 9,0.8999999999999999,66.64999999999999,6.9,4.6,68.2,7.55,84.8,79.60000000000001,79.60000000000001,40.75,29.2,69.39999999999999
1 vs 2,1.6,70.35,5.4,3.65,69.15,7.9,86.85000000000001,82.89999999999999,82.19999999999999,43.3,37.9,75.7
1 vs 3,0.65,56.15,5.1499999999999995,5.55,57.45,9.15,83.7,77.95,72.89999999999999,47.349999999999994,37.15,65.45
1 vs 4,1.0,70.0,6.0,3.6999999999999997,69.85,8.35,82.75,72.7,72.55,47.5,42.15,73.1
1 vs 5,2.9000000000000004,71.7,6.950000000000001,3.05,63.800000000000004,7.449999999999999,87.05000000000001,82.1,82.95,42.55,40.150000000000006,72.0
1 vs 6,1.55,65.4,6.15,3.75,62.4,10.7,86.75,81.35,89.14999999999999,46.550000000000004,44.2,75.7
1 vs 7,1.7999999999999998,62.050000000000004,5.949999999999999,4.0,61.75000000000001,7.049999999999999,87.1,81.55,78.10000000000001,45.1,33.550000000000004,70.05
1 vs 8,1.0,56.10000000000001,2.8000000000000003,4.35,60.9,3.3000000000000003,79.95,75.25,73.85000000000001,28.299999999999997,20.0,56.75
