class,MLP-BCE-BP,MLP-BCE-BAN,MLP-01-SCD,MLP-BCE-SCD
0 vs 1,1.053504533,0.962978227,1.159175429,0.623668607
0 vs 2,0.892312531,0.861190324,1.103973299,0.524704898
0 vs 3,1.061975567,1.364903961,1.742136971,0.743146017
0 vs 4,0.808589767,1.098281977,1.504673873,0.620152541
0 vs 5,1.074593086,1.19337046,1.607934582,0.707855307
0 vs 6,1.168491095,1.492931677,1.874424385,0.764642433
0 vs 7,0.903378462,0.833257438,1.25132692,0.637771257
0 vs 8,0.668813926,0.711326792,0.588055292,0.440243109
0 vs 9,0.95183838,0.83152672,0.825018813,0.521997226
1 vs 2,1.054881282,1.122861142,1.033245002,0.705890949
1 vs 3,1.120371827,1.038919139,1.039934242,0.660826729
1 vs 4,0.951344513,0.950394414,1.104379374,0.635559732
1 vs 5,0.938146007,1.191286832,1.296913085,0.680300645
1 vs 6,0.869382402,1.023668461,1.195259311,0.714291926
1 vs 7,1.077897337,0.959463558,1.341622692,0.669282491
1 vs 8,1.03803137,0.878414855,0.859977129,0.60386722
1 vs 9,0.8115024,0.72387468,0.750540821,0.517129086
2 vs 3,0.761002427,0.952561133,0.61046375,0.497245322
2 vs 4,0.449265984,0.479348841,0.543102083,0.330749703
2 vs 5,0.800894822,0.81983306,0.697635333,0.507515038
2 vs 6,0.552798632,0.559434882,0.543205815,0.432094501
2 vs 7,0.664912286,0.613704875,0.658626368,0.47322082
2 vs 8,1.016207711,1.232334101,1.510816772,0.621153727
2 vs 9,1.106981359,1.266958915,1.204844867,0.686360105
3 vs 4,0.722711494,0.704629577,0.777209722,0.5035067
3 vs 5,0.461874855,0.777689137,0.507530689,0.293553594
3 vs 6,0.842152218,0.739299403,0.832500961,0.520299023
3 vs 7,0.65060066,0.595396742,0.661834456,0.451299422
3 vs 8,1.451453443,1.430772684,1.339256706,0.804822117
3 vs 9,0.867190013,1.006926402,1.021995683,0.638808988
4 vs 5,0.629301905,0.668851907,0.681910867,0.430239015
4 vs 6,0.52307969,0.566366794,0.398206496,0.41200882
4 vs 7,0.625237742,0.597141128,0.573654863,0.475793438
4 vs 8,1.192825042,1.321026592,1.223676369,0.679556472
4 vs 9,1.046789541,1.325182675,1.320382726,0.699017688
5 vs 6,0.639590897,0.721233098,0.800845198,0.538248191
5 vs 7,0.833186257,0.834829725,0.809266237,0.562966347
5 vs 8,1.013641247,1.316416488,1.463535903,0.716376253
5 vs 9,1.190722924,1.353070784,1.689921213,0.765527846
6 vs 7,0.854934052,0.749233554,0.826444667,0.581800841
6 vs 8,1.270342853,1.848152501,2.152473584,0.8410701
6 vs 9,0.937435215,1.401398442,1.093933683,0.770139194
7 vs 8,1.113573555,0.996318761,1.197285195,0.745377481
7 vs 9,1.003090314,1.232253292,1.259722392,0.662727248
8 vs 9,0.808721394,0.873542553,0.778114556,0.540812933
