classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,5.301785714285715,2.4812499999999997,80.04464285714286,76.04464285714286
0 vs 2,1.1625,1.5732142857142857,76.47678571428571,64.7017857142857
0 vs 3,4.823214285714285,8.563392857142858,80.57767857142856,76.21517857142858
0 vs 4,1.0598214285714285,1.8499999999999999,82.09375,71.67232142857142
0 vs 5,4.5026785714285715,6.2125,82.57410714285713,78.30267857142859
0 vs 6,4.197321428571428,11.522321428571427,86.15,79.1875
0 vs 7,2.017857142857143,1.1321428571428571,79.56875,72.89196428571428
0 vs 8,1.760714285714286,1.0580357142857144,68.78839285714285,54.900000000000006
0 vs 9,9.532142857142857,2.6133928571428573,75.38392857142858,69.37589285714284
1 vs 2,3.402678571428572,3.3785714285714286,82.14196428571428,78.77678571428571
1 vs 3,6.058928571428573,3.738392857142857,79.51696428571428,77.4357142857143
1 vs 4,2.2553571428571426,1.4124999999999999,83.95982142857143,80.79285714285714
1 vs 5,2.3964285714285714,2.583035714285714,81.74196428571429,80.20803571428571
1 vs 6,1.4803571428571427,2.870535714285714,85.37321428571428,82.27053571428571
1 vs 7,2.7669642857142858,1.5723214285714284,81.43928571428572,78.82857142857144
1 vs 8,6.366964285714285,2.3026785714285714,76.30624999999999,64.41607142857143
1 vs 9,1.3357142857142856,2.1008928571428576,64.7,49.69732142857143
2 vs 3,4.010714285714285,10.05357142857143,65.05178571428571,57.55535714285715
2 vs 4,1.5732142857142857,0.3482142857142857,61.29107142857143,40.69017857142857
2 vs 5,4.547321428571428,5.175,67.24553571428571,56.47946428571428
2 vs 6,1.6616071428571428,1.0464285714285715,68.90892857142858,53.97589285714286
2 vs 7,0.624107142857143,1.088392857142857,71.19464285714285,57.86874999999999
2 vs 8,2.39375,4.55,82.08928571428571,76.38035714285714
2 vs 9,4.365178571428572,5.792857142857143,82.40535714285716,76.77767857142855
3 vs 4,1.4392857142857143,1.6169642857142859,71.19107142857143,57.85089285714287
3 vs 5,2.0062500000000005,13.690178571428572,57.10178571428571,36.900000000000006
3 vs 6,3.1383928571428568,3.5267857142857144,69.4875,56.81964285714286
3 vs 7,0.9267857142857143,0.36428571428571427,69.2330357142857,52.449107142857144
3 vs 8,8.25625,7.518749999999999,82.65,79.79732142857144
3 vs 9,3.321428571428571,3.7142857142857144,78.36339285714286,74.56249999999999
4 vs 5,4.216964285714286,4.6294642857142865,68.66339285714285,64.33839285714285
4 vs 6,0.7982142857142858,1.2196428571428573,66.975,50.71875
4 vs 7,0.4214285714285715,1.154464285714286,70.35178571428573,58.152678571428574
4 vs 8,5.907142857142857,10.134821428571428,84.13482142857143,74.75625000000001
4 vs 9,4.0616071428571425,5.389285714285714,82.61517857142857,78.99464285714285
5 vs 6,1.3232142857142857,1.7285714285714286,72.7330357142857,61.16071428571429
5 vs 7,1.1116071428571428,1.3169642857142858,68.67410714285714,53.135714285714286
5 vs 8,4.947321428571429,9.00267857142857,83.76517857142858,81.29017857142857
5 vs 9,3.978571428571429,7.485714285714286,81.93839285714284,78.725
6 vs 7,1.9446428571428576,0.4919642857142857,77.29375,67.1875
6 vs 8,10.70267857142857,9.560714285714287,88.43125,82.74375
6 vs 9,3.3294642857142858,4.961607142857143,83.46160714285715,81.13035714285715
7 vs 8,5.105357142857143,2.0187500000000003,83.65267857142857,75.92232142857142
7 vs 9,3.5749999999999997,3.8866071428571423,77.99464285714286,70.30714285714285
8 vs 9,1.8205357142857141,2.3517857142857146,74.59821428571428,66.69196428571428
