,CIFAR10,,,STL10,,
classes,cnnbcebp,cnnbceban,cnn01abp,cnnbcebp,cnnbceban,cnn01abp
0 vs 1,98.23 (97.60),98.00 (96.90),99.78 (96.45),100.00 (94.88),99.90 (95.00),100.00 (94.38)
0 vs 2,94.39 (92.35),93.58 (92.75),99.08 (92.05),100.00 (95.00),99.80 (95.50),100.00 (93.81)
0 vs 3,97.09 (96.00),96.42 (95.70),99.87 (95.55),99.80 (98.19),99.90 (97.81),100.00 (97.06)
0 vs 4,97.15 (96.35),96.89 (96.10),99.92 (95.80),100.00 (98.19),99.80 (97.81),100.00 (97.19)
0 vs 5,97.95 (97.10),97.71 (96.80),99.96 (96.70),99.90 (98.12),100.00 (98.50),100.00 (97.56)
0 vs 6,98.12 (98.05),97.83 (97.65),99.98 (97.85),99.90 (98.62),100.00 (98.94),100.00 (97.75)
0 vs 7,97.84 (96.45),97.22 (96.65),99.96 (96.20),99.70 (98.81),99.80 (98.88),100.00 (98.31)
0 vs 8,96.63 (94.35),94.71 (93.25),99.48 (92.85),99.90 (93.38),100.00 (92.50),100.00 (89.44)
0 vs 9,96.95 (95.55),96.50 (94.90),99.80 (95.10),99.90 (94.12),99.60 (94.25),100.00 (92.75)
1 vs 2,98.81 (98.35),98.67 (98.60),99.98 (98.25),100.00 (97.12),100.00 (96.94),100.00 (96.00)
1 vs 3,98.40 (97.70),98.65 (97.95),99.96 (97.00),100.00 (86.44),99.90 (82.44),100.00 (83.69)
1 vs 4,99.08 (98.70),99.23 (98.85),100.00 (98.75),100.00 (92.12),99.70 (90.38),100.00 (88.31)
1 vs 5,98.81 (98.50),99.23 (99.05),99.99 (98.45),99.90 (89.94),99.90 (88.56),100.00 (86.81)
1 vs 6,98.77 (98.85),98.75 (98.55),99.97 (98.55),99.90 (94.50),99.90 (93.62),100.00 (93.12)
1 vs 7,99.25 (98.95),99.17 (99.05),100.00 (98.60),99.90 (89.44),99.50 (87.94),100.00 (85.94)
1 vs 8,97.61 (97.35),97.35 (96.85),99.90 (95.40),100.00 (96.88),100.00 (97.69),100.00 (97.00)
1 vs 9,96.13 (94.25),95.04 (94.10),99.21 (92.65),100.00 (96.62),99.80 (96.56),100.00 (95.44)
2 vs 3,91.91 (88.65),89.45 (86.80),99.05 (87.55),100.00 (97.25),100.00 (97.56),100.00 (96.56)
2 vs 4,93.84 (90.65),90.26 (87.30),98.46 (87.95),100.00 (97.25),100.00 (98.00),100.00 (97.19)
2 vs 5,93.41 (90.90),91.25 (88.85),99.28 (89.80),99.60 (97.69),100.00 (98.06),100.00 (97.12)
2 vs 6,93.98 (93.25),92.55 (91.25),99.07 (92.25),100.00 (97.00),100.00 (97.19),100.00 (96.31)
