classes\target,toy3sss100scale_ban,toy3sss100scale_abp
0 vs 1,71.1,90.64999999999999
0 vs 2,38.95,68.10000000000001
0 vs 3,59.5,83.15
0 vs 4,31.95,73.05
0 vs 5,56.8,85.9
0 vs 6,67.95,90.2
0 vs 7,45.550000000000004,84.39999999999999
0 vs 8,35.35,69.3
0 vs 9,61.7,85.45
1 vs 2,76.05,89.55
1 vs 3,69.45,83.7
1 vs 4,59.9,84.5
1 vs 5,70.1,87.2
1 vs 6,66.2,89.64999999999999
1 vs 7,73.75,91.0
1 vs 8,50.449999999999996,80.4
1 vs 9,31.75,77.75
2 vs 3,16.05,56.35
2 vs 4,12.950000000000001,50.2
2 vs 5,22.900000000000002,65.2
2 vs 6,34.2,65.4
2 vs 7,36.4,70.0
2 vs 8,56.8,84.5
2 vs 9,69.25,85.8
3 vs 4,18.15,58.45
3 vs 5,7.449999999999999,46.45
3 vs 6,33.75,63.4
3 vs 7,18.15,55.400000000000006
3 vs 8,63.2,88.7
3 vs 9,60.4,76.44999999999999
4 vs 5,28.349999999999998,70.15
4 vs 6,21.3,62.1
4 vs 7,17.849999999999998,59.4
4 vs 8,62.2,87.25
4 vs 9,61.25000000000001,82.75
5 vs 6,28.95,65.4
5 vs 7,20.4,66.95
5 vs 8,71.39999999999999,91.14999999999999
5 vs 9,64.14999999999999,83.25
6 vs 7,44.800000000000004,76.44999999999999
6 vs 8,70.75,91.05
6 vs 9,62.4,89.35
7 vs 8,59.85,90.60000000000001
7 vs 9,52.349999999999994,83.75
8 vs 9,52.2,77.95
