classes\target,toy3rrr100,toy3sss100scale_ban
0 vs 1,67.2,79.95
0 vs 2,34.25,44.4
0 vs 3,56.3,67.25
0 vs 4,34.0,43.15
0 vs 5,53.300000000000004,65.55
0 vs 6,62.9,71.1
0 vs 7,45.300000000000004,59.35
0 vs 8,27.150000000000002,41.699999999999996
0 vs 9,61.7,71.35000000000001
1 vs 2,56.45,78.55
1 vs 3,55.1,72.95
1 vs 4,45.1,66.0
1 vs 5,56.2,76.85
1 vs 6,48.0,71.39999999999999
1 vs 7,52.7,77.4
1 vs 8,36.55,56.49999999999999
1 vs 9,39.7,53.349999999999994
2 vs 3,21.9,27.750000000000004
2 vs 4,11.600000000000001,20.75
2 vs 5,23.849999999999998,34.75
2 vs 6,30.55,45.2
2 vs 7,27.0,45.45
2 vs 8,57.15,64.2
2 vs 9,61.150000000000006,76.05
3 vs 4,23.75,30.75
3 vs 5,13.450000000000001,11.75
3 vs 6,25.45,39.95
3 vs 7,13.15,26.1
3 vs 8,58.75,68.05
3 vs 9,43.6,66.4
4 vs 5,28.849999999999998,35.099999999999994
4 vs 6,15.4,34.4
4 vs 7,15.0,27.05
4 vs 8,54.1,66.3
4 vs 9,47.05,66.95
5 vs 6,27.500000000000004,36.75
5 vs 7,21.25,28.199999999999996
5 vs 8,65.25,74.4
5 vs 9,50.8,70.25
6 vs 7,29.15,53.6
6 vs 8,59.85,70.45
6 vs 9,41.349999999999994,62.8
7 vs 8,57.8,68.05
7 vs 9,45.300000000000004,64.25
8 vs 9,44.65,58.9
