classes\target,toy3rrr100,toy3sss100scale_abp
0 vs 1,46.2,88.14999999999999
0 vs 2,28.299999999999997,69.1
0 vs 3,45.6,82.0
0 vs 4,21.349999999999998,70.5
0 vs 5,42.55,84.75
0 vs 6,58.8,89.45
0 vs 7,33.300000000000004,83.65
0 vs 8,15.7,63.449999999999996
0 vs 9,42.75,82.3
1 vs 2,46.9,88.55
1 vs 3,40.849999999999994,83.65
1 vs 4,32.35,84.8
1 vs 5,41.3,89.14999999999999
1 vs 6,36.9,88.2
1 vs 7,36.4,89.2
1 vs 8,20.1,77.3
1 vs 9,12.5,71.95
2 vs 3,9.049999999999999,50.64999999999999
2 vs 4,4.95,43.65
2 vs 5,10.35,58.650000000000006
2 vs 6,16.45,63.55
2 vs 7,12.15,63.2
2 vs 8,43.45,83.0
2 vs 9,36.9,84.85000000000001
3 vs 4,13.600000000000001,54.6
3 vs 5,5.1,40.400000000000006
3 vs 6,13.100000000000001,57.4
3 vs 7,3.9,49.4
3 vs 8,42.699999999999996,86.75
3 vs 9,24.099999999999998,77.8
4 vs 5,22.6,66.64999999999999
4 vs 6,2.8000000000000003,57.8
4 vs 7,5.25,55.00000000000001
4 vs 8,40.400000000000006,80.0
4 vs 9,30.099999999999998,82.19999999999999
5 vs 6,16.650000000000002,62.2
5 vs 7,5.75,57.3
5 vs 8,52.300000000000004,89.45
5 vs 9,28.9,84.1
6 vs 7,11.600000000000001,69.8
6 vs 8,54.1,87.5
6 vs 9,26.1,84.75
7 vs 8,45.1,88.64999999999999
7 vs 9,24.85,81.55
8 vs 9,26.3,76.14999999999999
