classes,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
0 vs 1,32.4,53.400000000000006,79.14999999999999
0 vs 2,9.35,29.4,54.6
0 vs 3,24.349999999999998,48.0,74.7
0 vs 4,9.700000000000001,26.35,62.0
0 vs 5,25.85,46.45,78.0
0 vs 6,40.45,57.05,82.05
0 vs 7,19.55,40.949999999999996,74.3
0 vs 8,7.6499999999999995,19.75,50.6
0 vs 9,26.700000000000003,43.5,73.1
1 vs 2,27.85,62.0,80.75
1 vs 3,24.65,55.05,76.14999999999999
1 vs 4,18.65,47.949999999999996,78.35
1 vs 5,25.45,57.099999999999994,81.75
1 vs 6,25.25,49.35,81.3
1 vs 7,25.05,55.15,83.95
1 vs 8,12.9,32.300000000000004,68.25
1 vs 9,4.3,14.35,50.55
2 vs 3,2.25,9.85,35.9
2 vs 4,2.25,6.5,27.6
2 vs 5,5.050000000000001,11.55,43.2
2 vs 6,6.4,17.5,48.3
2 vs 7,6.35,18.8,51.300000000000004
2 vs 8,21.9,43.5,75.7
2 vs 9,22.25,50.349999999999994,77.64999999999999
3 vs 4,4.8,15.25,43.35
3 vs 5,0.35000000000000003,2.0,16.7
3 vs 6,5.3,18.099999999999998,45.050000000000004
3 vs 7,2.0500000000000003,8.05,38.05
3 vs 8,28.15,46.400000000000006,80.25
3 vs 9,13.65,40.8,67.35
4 vs 5,9.85,16.950000000000003,48.4
4 vs 6,1.7500000000000002,8.3,42.1
4 vs 7,1.6500000000000001,8.6,40.2
4 vs 8,21.3,48.75,74.2
4 vs 9,16.0,47.05,74.35000000000001
5 vs 6,9.55,19.05,50.349999999999994
5 vs 7,2.15,7.449999999999999,41.949999999999996
5 vs 8,41.099999999999994,54.2,83.35000000000001
5 vs 9,22.0,45.95,75.0
6 vs 7,7.449999999999999,28.299999999999997,62.050000000000004
6 vs 8,40.5,59.050000000000004,83.0
6 vs 9,19.55,39.800000000000004,77.10000000000001
7 vs 8,26.05,53.949999999999996,82.25
7 vs 9,12.6,39.45,73.75
8 vs 9,15.65,31.95,67.0
