classes\target,toy3sss100scale_ban,toy3sss100scale_abp
0 vs 1,40.849999999999994,83.6
0 vs 2,19.8,51.55
0 vs 3,38.65,73.3
0 vs 4,10.95,52.949999999999996
0 vs 5,34.300000000000004,76.44999999999999
0 vs 6,44.55,82.8
0 vs 7,23.65,70.1
0 vs 8,14.149999999999999,52.349999999999994
0 vs 9,33.6,77.35
1 vs 2,56.25,80.85
1 vs 3,47.9,74.35000000000001
1 vs 4,34.25,71.8
1 vs 5,47.75,77.3
1 vs 6,37.25,77.10000000000001
1 vs 7,46.7,81.6
1 vs 8,22.55,65.35
1 vs 9,6.950000000000001,65.10000000000001
2 vs 3,4.0,38.0
2 vs 4,2.0500000000000003,26.8
2 vs 5,8.05,45.800000000000004
2 vs 6,12.4,48.55
2 vs 7,15.950000000000001,55.55
2 vs 8,30.3,73.85000000000001
2 vs 9,45.35,77.2
3 vs 4,4.9,37.95
3 vs 5,2.85,32.300000000000004
3 vs 6,9.9,45.15
3 vs 7,5.1,34.949999999999996
3 vs 8,39.550000000000004,81.15
3 vs 9,37.7,66.5
4 vs 5,9.700000000000001,52.2
4 vs 6,3.55,34.050000000000004
4 vs 7,4.35,38.95
4 vs 8,31.4,73.05
4 vs 9,31.65,68.4
5 vs 6,7.75,44.1
5 vs 7,4.75,49.7
5 vs 8,46.400000000000006,85.05
5 vs 9,40.050000000000004,75.5
6 vs 7,15.049999999999999,55.85
6 vs 8,46.550000000000004,83.15
6 vs 9,25.7,72.45
7 vs 8,33.5,78.75
7 vs 9,23.200000000000003,70.35
8 vs 9,23.65,63.349999999999994
