classes\target,toy3rrr100,toy3sss100scale_ban
0 vs 1,47.9,60.8
0 vs 2,15.4,22.8
0 vs 3,36.25,41.3
0 vs 4,11.4,16.950000000000003
0 vs 5,32.2,42.449999999999996
0 vs 6,31.85,43.6
0 vs 7,27.200000000000003,36.1
0 vs 8,13.700000000000001,17.599999999999998
0 vs 9,40.9,49.3
1 vs 2,35.099999999999994,60.150000000000006
1 vs 3,31.15,50.3
1 vs 4,24.8,41.8
1 vs 5,31.45,49.85
1 vs 6,23.849999999999998,39.7
1 vs 7,32.4,51.5
1 vs 8,20.5,33.550000000000004
1 vs 9,17.599999999999998,29.75
2 vs 3,7.85,10.45
2 vs 4,1.9,3.4000000000000004
2 vs 5,9.75,15.299999999999999
2 vs 6,10.549999999999999,20.75
2 vs 7,13.700000000000001,23.05
2 vs 8,32.95,40.6
2 vs 9,39.75,57.25
3 vs 4,8.4,11.55
3 vs 5,3.8,4.6
3 vs 6,7.55,12.5
3 vs 7,5.75,9.45
3 vs 8,36.7,42.55
3 vs 9,23.65,44.25
4 vs 5,9.5,13.8
4 vs 6,2.9499999999999997,7.75
4 vs 7,6.25,11.200000000000001
4 vs 8,28.599999999999998,37.25
4 vs 9,24.25,41.55
5 vs 6,6.950000000000001,10.7
5 vs 7,9.25,10.45
5 vs 8,41.25,48.6
5 vs 9,27.05,44.5
6 vs 7,9.85,21.3
6 vs 8,37.1,44.1
6 vs 9,15.75,25.5
7 vs 8,38.0,46.7
7 vs 9,28.299999999999997,39.050000000000004
8 vs 9,23.400000000000002,33.4
