classes\target,toy3rrr100,toy3sss100scale_abp
0 vs 1,17.349999999999998,80.15
0 vs 2,12.8,51.849999999999994
0 vs 3,25.75,68.65
0 vs 4,5.35,48.4
0 vs 5,20.5,72.55
0 vs 6,29.299999999999997,80.35
0 vs 7,17.349999999999998,68.75
0 vs 8,5.35,41.9
0 vs 9,17.95,72.25
1 vs 2,26.1,76.8
1 vs 3,19.650000000000002,68.95
1 vs 4,14.549999999999999,67.10000000000001
1 vs 5,20.0,74.65
1 vs 6,13.350000000000001,71.39999999999999
1 vs 7,15.65,77.05
1 vs 8,7.1,56.95
1 vs 9,1.2,57.65
2 vs 3,2.1,31.05
2 vs 4,0.1,17.5
2 vs 5,2.7,39.050000000000004
2 vs 6,3.95,42.75
2 vs 7,3.55,43.9
2 vs 8,20.45,71.45
2 vs 9,15.75,69.6
3 vs 4,2.8000000000000003,29.549999999999997
3 vs 5,1.3,28.000000000000004
3 vs 6,2.3,33.7
3 vs 7,0.95,23.799999999999997
3 vs 8,21.05,73.45
3 vs 9,8.6,57.75
4 vs 5,5.8500000000000005,46.949999999999996
4 vs 6,0.2,25.45
4 vs 7,1.15,32.35
4 vs 8,17.5,64.64999999999999
4 vs 9,12.55,63.449999999999996
5 vs 6,2.65,39.95
5 vs 7,1.05,35.05
5 vs 8,24.8,79.05
5 vs 9,9.75,67.9
6 vs 7,2.25,44.05
6 vs 8,29.45,78.45
6 vs 9,6.0,62.6
7 vs 8,25.05,75.94999999999999
7 vs 9,8.200000000000001,65.4
8 vs 9,6.800000000000001,54.7
