classes,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
0 vs 1,6.950000000000001,8.7,19.950000000000003
0 vs 2,0.7000000000000001,2.1,2.85
0 vs 3,6.8500000000000005,10.25,15.049999999999999
0 vs 4,1.15,1.3,3.4000000000000004
0 vs 5,6.9,7.3999999999999995,14.149999999999999
0 vs 6,11.05,21.45,15.9
0 vs 7,6.45,11.600000000000001,15.8
0 vs 8,1.05,0.75,1.4000000000000001
0 vs 9,6.5,8.3,15.65
1 vs 2,8.649999999999999,10.549999999999999,22.3
1 vs 3,6.45,6.25,14.95
1 vs 4,6.2,5.5,15.35
1 vs 5,5.75,5.800000000000001,16.6
1 vs 6,7.1,5.050000000000001,12.4
1 vs 7,8.3,5.5,14.649999999999999
1 vs 8,1.9,2.0,8.7
1 vs 9,0.0,0.05,0.44999999999999996
2 vs 3,0.35000000000000003,0.3,0.5
2 vs 4,0.05,0.0,0.05
2 vs 5,0.5,0.3,1.05
2 vs 6,0.5499999999999999,0.4,1.4000000000000001
2 vs 7,0.6,0.7000000000000001,2.1
2 vs 8,4.15,8.200000000000001,14.000000000000002
2 vs 9,5.050000000000001,4.3,15.5
3 vs 4,0.35000000000000003,0.1,0.7000000000000001
3 vs 5,0.0,0.0,0.0
3 vs 6,0.25,0.1,0.4
3 vs 7,0.7000000000000001,0.15,0.95
3 vs 8,7.8,5.800000000000001,16.5
3 vs 9,2.15,0.95,6.2
4 vs 5,0.65,1.5,1.4500000000000002
4 vs 6,0.0,0.0,0.35000000000000003
4 vs 7,0.2,0.35000000000000003,1.0
4 vs 8,3.55,7.95,15.8
4 vs 9,3.4000000000000004,5.75,13.25
5 vs 6,0.8500000000000001,0.95,1.25
5 vs 7,0.2,0.2,0.65
5 vs 8,12.75,8.7,21.45
5 vs 9,2.5,1.15,6.9
6 vs 7,1.0,0.7000000000000001,2.85
6 vs 8,11.85,13.8,23.150000000000002
6 vs 9,2.5,1.15,6.25
7 vs 8,6.7,15.75,23.95
7 vs 9,2.35,2.75,8.9
8 vs 9,1.3,0.7000000000000001,7.6499999999999995
