classes\target,mlpbcebp,mlpbceban,mlpbcescd
0 vs 1,66.85,68.35,71.35000000000001
0 vs 2,65.60000000000001,65.2,64.35
0 vs 3,74.65,71.25,70.85000000000001
0 vs 4,75.44999999999999,74.45,73.05
0 vs 5,75.8,72.75,72.3
0 vs 6,74.95,72.25,77.75
0 vs 7,72.3,72.95,70.39999999999999
0 vs 8,50.05,49.3,46.400000000000006
0 vs 9,66.64999999999999,68.2,69.39999999999999
1 vs 2,70.35,69.15,75.7
1 vs 3,56.15,57.45,65.45
1 vs 4,70.0,69.85,73.1
1 vs 5,71.7,63.800000000000004,72.0
1 vs 6,65.4,62.4,75.7
1 vs 7,62.050000000000004,61.75000000000001,70.05
1 vs 8,56.10000000000001,60.9,56.75
1 vs 9,46.6,44.45,42.199999999999996
2 vs 3,48.55,41.699999999999996,45.85
2 vs 4,37.2,35.099999999999994,26.85
2 vs 5,46.400000000000006,51.5,47.699999999999996
2 vs 6,48.3,46.7,39.2
2 vs 7,42.5,45.95,42.5
2 vs 8,72.0,71.5,70.1
2 vs 9,70.7,69.65,71.45
3 vs 4,48.9,45.95,47.699999999999996
3 vs 5,37.4,36.1,32.95
3 vs 6,38.800000000000004,40.699999999999996,45.050000000000004
3 vs 7,38.3,39.800000000000004,36.6
3 vs 8,72.95,74.3,74.1
3 vs 9,70.05,63.800000000000004,67.0
4 vs 5,49.85,51.7,48.15
4 vs 6,39.95,33.900000000000006,38.800000000000004
4 vs 7,45.25,43.85,40.75
4 vs 8,75.5,75.3,75.94999999999999
4 vs 9,71.1,68.89999999999999,75.64999999999999
5 vs 6,51.949999999999996,49.45,51.05
5 vs 7,44.9,44.05,39.5
5 vs 8,78.9,76.75,77.75
5 vs 9,73.5,70.25,74.2
6 vs 7,47.699999999999996,46.75,51.6
6 vs 8,79.60000000000001,80.2,82.95
6 vs 9,74.25,69.55,75.35
7 vs 8,70.85000000000001,71.89999999999999,73.55000000000001
7 vs 9,62.150000000000006,58.099999999999994,64.8
8 vs 9,63.849999999999994,63.24999999999999,60.6
