classes\target,mlpbcebp,mlp01scd,mlpbcescd
0 vs 1,0.8,74.85000000000001,27.700000000000003
0 vs 2,0.15,77.55,17.25
0 vs 3,4.8500000000000005,83.95,42.25
0 vs 4,0.7000000000000001,82.5,28.1
0 vs 5,2.35,87.35000000000001,39.95
0 vs 6,2.15,86.4,48.1
0 vs 7,0.7000000000000001,79.05,22.35
0 vs 8,0.2,68.7,10.75
0 vs 9,0.8999999999999999,79.60000000000001,29.2
1 vs 2,1.6,82.89999999999999,37.9
1 vs 3,0.65,77.95,37.15
1 vs 4,1.0,72.7,42.15
1 vs 5,2.9000000000000004,82.1,40.150000000000006
1 vs 6,1.55,81.35,44.2
1 vs 7,1.7999999999999998,81.55,33.550000000000004
1 vs 8,1.0,75.25,20.0
1 vs 9,0.05,69.5,5.800000000000001
2 vs 3,2.15,60.25,16.7
2 vs 4,0.15,60.25,3.3000000000000003
2 vs 5,0.3,67.15,12.3
2 vs 6,0.25,69.75,7.75
2 vs 7,0.0,65.64999999999999,7.1
2 vs 8,0.95,88.9,36.199999999999996
2 vs 9,1.0,80.85,34.8
3 vs 4,0.4,61.650000000000006,12.55
3 vs 5,0.25,56.85,7.6
3 vs 6,0.2,61.5,11.65
3 vs 7,0.25,66.05,5.050000000000001
3 vs 8,2.25,86.35000000000001,42.3
3 vs 9,1.3,72.0,30.15
4 vs 5,0.95,60.9,15.55
4 vs 6,0.1,63.0,6.6000000000000005
4 vs 7,0.1,53.0,7.000000000000001
4 vs 8,2.55,84.85000000000001,39.85
4 vs 9,1.2,81.2,38.05
5 vs 6,0.2,68.89999999999999,13.900000000000002
5 vs 7,0.05,72.89999999999999,7.449999999999999
5 vs 8,4.0,87.2,49.2
5 vs 9,1.7999999999999998,84.6,41.85
6 vs 7,0.5499999999999999,71.8,12.3
6 vs 8,5.0,90.8,51.449999999999996
6 vs 9,2.0500000000000003,81.25,41.949999999999996
7 vs 8,1.0999999999999999,88.7,27.500000000000004
7 vs 9,1.4500000000000002,82.45,26.85
8 vs 9,0.75,75.1,20.75
