classes\target,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,3.55,81.55,39.15
0 vs 2,0.35000000000000003,78.3,21.25
0 vs 3,2.9000000000000004,86.7,36.6
0 vs 4,0.6,82.65,21.2
0 vs 5,2.4,90.0,37.65
0 vs 6,6.7,89.05,45.2
0 vs 7,0.8500000000000001,81.75,26.8
0 vs 8,0.3,68.60000000000001,10.5
0 vs 9,4.6,84.8,40.75
1 vs 2,3.65,86.85000000000001,43.3
1 vs 3,5.55,83.7,47.349999999999994
1 vs 4,3.6999999999999997,82.75,47.5
1 vs 5,3.05,87.05000000000001,42.55
1 vs 6,3.75,86.75,46.550000000000004
1 vs 7,4.0,87.1,45.1
1 vs 8,4.35,79.95,28.299999999999997
1 vs 9,0.15,72.25,8.7
2 vs 3,1.55,66.64999999999999,11.799999999999999
2 vs 4,0.0,62.7,2.65
2 vs 5,0.8999999999999999,70.35,14.099999999999998
2 vs 6,0.5499999999999999,73.3,10.15
2 vs 7,0.44999999999999996,71.89999999999999,10.0
2 vs 8,3.05,90.55,37.4
2 vs 9,2.9000000000000004,83.8,37.65
3 vs 4,0.5499999999999999,65.8,12.0
3 vs 5,0.05,57.3,2.25
3 vs 6,1.05,65.5,16.5
3 vs 7,0.7000000000000001,70.25,8.95
3 vs 8,6.8500000000000005,89.9,49.95
3 vs 9,2.75,78.3,32.6
4 vs 5,1.6,68.45,16.05
4 vs 6,0.2,66.8,6.8500000000000005
4 vs 7,0.3,58.050000000000004,8.4
4 vs 8,5.65,86.4,40.1
4 vs 9,3.0,86.6,36.9
5 vs 6,0.75,73.4,15.1
5 vs 7,0.15,75.7,10.15
5 vs 8,3.25,90.14999999999999,43.65
5 vs 9,3.65,88.75,44.55
6 vs 7,0.8500000000000001,76.9,17.1
6 vs 8,5.8999999999999995,93.0,49.1
6 vs 9,2.0500000000000003,85.6,38.2
7 vs 8,3.8,90.9,36.7
7 vs 9,2.1999999999999997,86.1,28.849999999999998
8 vs 9,0.8999999999999999,79.0,18.65
