classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,1.7999999999999998,0.95,36.35,10.299999999999999
0 vs 2,0.05,0.15,49.05,2.15
0 vs 3,0.8999999999999999,2.9499999999999997,56.599999999999994,9.049999999999999
0 vs 4,0.3,0.5,42.95,4.6
0 vs 5,0.95,1.55,65.60000000000001,13.750000000000002
0 vs 6,0.8500000000000001,5.6000000000000005,51.449999999999996,17.599999999999998
0 vs 7,0.8,0.35000000000000003,45.65,10.15
0 vs 8,0.05,0.05,19.5,1.95
0 vs 9,2.8000000000000003,0.7000000000000001,47.599999999999994,9.45
1 vs 2,1.05,1.4500000000000002,39.95,19.0
1 vs 3,1.55,1.4000000000000001,47.599999999999994,18.5
1 vs 4,1.0999999999999999,0.8999999999999999,40.2,23.05
1 vs 5,1.05,1.5,42.9,22.75
1 vs 6,0.8,2.5,41.099999999999994,28.249999999999996
1 vs 7,1.5,1.7000000000000002,42.5,22.2
1 vs 8,2.3,0.7000000000000001,46.7,7.449999999999999
1 vs 9,0.1,0.0,38.95,0.4
2 vs 3,0.44999999999999996,1.5,18.95,1.35
2 vs 4,0.1,0.0,22.3,0.5499999999999999
2 vs 5,0.25,0.35000000000000003,23.799999999999997,1.4000000000000001
2 vs 6,0.35000000000000003,0.25,35.449999999999996,2.25
2 vs 7,0.05,0.2,29.349999999999998,1.8499999999999999
2 vs 8,0.8999999999999999,1.35,71.75,10.299999999999999
2 vs 9,0.95,1.8499999999999999,42.699999999999996,12.55
3 vs 4,0.2,0.44999999999999996,26.900000000000002,2.7
3 vs 5,0.05,0.1,20.25,0.1
3 vs 6,0.5499999999999999,0.3,32.05,2.15
3 vs 7,0.2,0.5499999999999999,35.05,1.9
3 vs 8,2.1999999999999997,3.2,70.5,14.899999999999999
3 vs 9,0.8,1.3,39.300000000000004,11.600000000000001
4 vs 5,0.8,1.3,22.1,4.9
4 vs 6,0.05,0.2,37.95,1.6
4 vs 7,0.1,0.2,22.7,2.85
4 vs 8,1.4000000000000001,4.3999999999999995,70.25,8.1
4 vs 9,1.15,1.95,44.85,13.950000000000001
5 vs 6,0.2,0.15,37.7,5.55
5 vs 7,0.05,0.05,40.25,1.2
5 vs 8,1.0999999999999999,3.8,64.25,20.0
5 vs 9,1.15,2.5,74.1,15.15
6 vs 7,0.5499999999999999,0.5499999999999999,50.7,7.7
6 vs 8,3.25,5.8500000000000005,84.75,25.2
6 vs 9,0.6,2.15,41.449999999999996,19.75
7 vs 8,1.7500000000000002,2.25,70.35,12.45
7 vs 9,1.0999999999999999,1.9,59.4,8.25
8 vs 9,0.35000000000000003,0.75,44.25,5.8999999999999995
