classes\target,mlpbcebp,mlpbceban,mlpbcescd
0 vs 1,66.45,69.95,65.45
0 vs 2,66.2,66.45,61.199999999999996
0 vs 3,73.45,72.7,68.05
0 vs 4,75.5,74.9,68.65
0 vs 5,73.85000000000001,74.5,67.5
0 vs 6,73.15,72.35000000000001,72.55
0 vs 7,71.89999999999999,73.8,67.7
0 vs 8,46.7,52.65,44.0
0 vs 9,66.25,69.1,68.05
1 vs 2,70.55,71.89999999999999,69.1
1 vs 3,54.1,60.550000000000004,58.85
1 vs 4,70.1,71.8,65.8
1 vs 5,70.55,66.35,66.64999999999999
1 vs 6,65.14999999999999,66.60000000000001,68.7
1 vs 7,63.05,66.75,62.9
1 vs 8,54.449999999999996,61.0,48.699999999999996
1 vs 9,44.1,46.45,38.550000000000004
2 vs 3,44.800000000000004,42.449999999999996,43.35
2 vs 4,35.199999999999996,38.65,25.85
2 vs 5,44.6,51.949999999999996,45.2
2 vs 6,45.95,51.349999999999994,34.55
2 vs 7,45.65,48.85,36.9
2 vs 8,71.5,72.2,65.14999999999999
2 vs 9,68.7,70.55,65.95
3 vs 4,47.599999999999994,48.6,47.55
3 vs 5,34.65,35.099999999999994,33.5
3 vs 6,36.25,39.7,43.25
3 vs 7,38.9,41.699999999999996,30.55
3 vs 8,73.95,76.05,71.25
3 vs 9,68.0,65.05,63.349999999999994
4 vs 5,48.4,52.65,44.9
4 vs 6,38.75,38.95,34.449999999999996
4 vs 7,45.85,44.75,37.75
4 vs 8,74.55000000000001,74.3,74.45
4 vs 9,69.15,69.45,73.0
5 vs 6,49.2,50.55,46.25
5 vs 7,44.5,43.35,35.25
5 vs 8,78.85,76.8,74.85000000000001
5 vs 9,71.39999999999999,71.39999999999999,70.0
6 vs 7,46.75,48.15,43.0
6 vs 8,76.9,81.2,79.25
6 vs 9,74.4,69.6,69.3
7 vs 8,69.55,71.39999999999999,67.80000000000001
7 vs 9,58.95,57.550000000000004,59.199999999999996
8 vs 9,61.650000000000006,61.8,55.1
