classes\target,mlpbcebp,mlpbceban,mlp01scd
0 vs 1,3.6999999999999997,4.25,71.5
0 vs 2,0.2,0.35000000000000003,76.6
0 vs 3,5.0,6.800000000000001,74.7
0 vs 4,0.75,0.8500000000000001,70.8
0 vs 5,5.55,7.35,81.89999999999999
0 vs 6,4.35,7.449999999999999,81.85
0 vs 7,2.35,2.9499999999999997,82.85
0 vs 8,0.35000000000000003,0.5,51.2
0 vs 9,5.3,6.25,78.55
1 vs 2,3.75,5.3,82.25
1 vs 3,4.05,6.2,73.5
1 vs 4,4.05,6.4,73.85000000000001
1 vs 5,4.8,4.8,78.5
1 vs 6,5.1499999999999995,6.9,87.7
1 vs 7,3.75,4.15,77.55
1 vs 8,2.0,2.4,64.64999999999999
1 vs 9,0.1,0.15,58.9
2 vs 3,1.05,1.7000000000000002,58.050000000000004
2 vs 4,0.35000000000000003,0.3,40.849999999999994
2 vs 5,1.4500000000000002,1.7500000000000002,64.05
2 vs 6,0.6,0.5499999999999999,55.7
2 vs 7,0.2,0.5,56.599999999999994
2 vs 8,1.35,2.25,74.5
2 vs 9,1.9,2.9000000000000004,75.6
3 vs 4,1.35,1.55,48.55
3 vs 5,0.05,0.15,46.150000000000006
3 vs 6,1.0999999999999999,1.35,61.550000000000004
3 vs 7,0.1,0.25,52.6
3 vs 8,2.85,4.8500000000000005,84.89999999999999
3 vs 9,2.15,2.55,69.65
4 vs 5,3.6999999999999997,4.25,58.85
4 vs 6,0.2,0.3,54.400000000000006
4 vs 7,0.25,0.44999999999999996,48.0
4 vs 8,1.35,2.7,74.65
4 vs 9,2.3,4.15,80.55
5 vs 6,2.8000000000000003,2.9499999999999997,58.3
5 vs 7,0.25,0.25,56.39999999999999
5 vs 8,5.6000000000000005,8.15,88.3
5 vs 9,3.1,4.95,83.6
6 vs 7,1.0,0.95,66.10000000000001
6 vs 8,4.55,6.45,86.65
6 vs 9,3.2,4.8500000000000005,78.64999999999999
7 vs 8,1.9,2.5,79.35
7 vs 9,1.15,1.35,77.8
8 vs 9,1.25,1.4500000000000002,69.39999999999999
