classes\target,mlpbcebp,mlp01scd,mlpbcescd
0 vs 1,8.0,81.25,73.81
0 vs 2,11.87,82.80999999999999,77.25
0 vs 3,31.369999999999997,83.38,79.25
0 vs 4,32.940000000000005,84.38,79.19
0 vs 5,41.56,81.94,78.31
0 vs 6,21.63,84.13000000000001,80.06
0 vs 7,38.690000000000005,85.75,83.88
0 vs 8,11.37,75.87,66.19
0 vs 9,12.19,77.75,72.11999999999999
1 vs 2,28.060000000000002,85.31,81.37
1 vs 3,1.81,65.25,47.370000000000005
1 vs 4,2.87,66.86999999999999,53.0
1 vs 5,3.6900000000000004,60.25,46.94
1 vs 6,1.94,70.88,56.69
1 vs 7,1.94,59.62,41.81
1 vs 8,23.56,87.62,82.94
1 vs 9,23.94,85.06,80.06
2 vs 3,17.19,84.06,78.94
2 vs 4,23.75,86.81,83.5
2 vs 5,20.75,85.37,82.25
2 vs 6,30.06,85.75,82.80999999999999
2 vs 7,32.81,86.11999999999999,82.44
2 vs 8,5.75,77.63,70.25
2 vs 9,1.37,68.69,55.50000000000001
3 vs 4,3.0,66.86999999999999,51.5
3 vs 5,0.9400000000000001,57.75,37.13
3 vs 6,1.37,70.88,53.25
3 vs 7,0.44,61.12,42.620000000000005
3 vs 8,35.94,89.5,85.06
3 vs 9,25.19,84.06,79.62
4 vs 5,15.06,65.06,55.25
4 vs 6,4.25,69.75,54.190000000000005
4 vs 7,3.06,68.69,51.559999999999995
4 vs 8,43.56,90.13,86.75
4 vs 9,16.939999999999998,85.81,82.12
5 vs 6,1.1900000000000002,63.0,44.0
5 vs 7,1.37,62.62,40.94
5 vs 8,44.190000000000005,91.0,87.25
5 vs 9,23.0,85.25,80.62
6 vs 7,2.56,68.19,52.44
6 vs 8,31.44,90.13,86.44
6 vs 9,26.0,84.38,80.36999999999999
7 vs 8,38.690000000000005,90.56,87.75
7 vs 9,25.0,85.87,81.37
8 vs 9,4.9399999999999995,71.88,59.809999999999995
