classes\target,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,4.87,80.44,73.11999999999999
0 vs 2,11.37,85.25,79.94
0 vs 3,18.81,83.69,80.36999999999999
0 vs 4,28.560000000000002,84.75,80.94
0 vs 5,23.75,82.37,79.06
0 vs 6,11.37,84.94,81.12
0 vs 7,27.250000000000004,85.94000000000001,83.44
0 vs 8,10.13,77.25,70.75
0 vs 9,9.5,78.86999999999999,74.0
1 vs 2,21.44,87.12,82.37
1 vs 3,1.94,64.88000000000001,53.75
1 vs 4,8.5,67.62,62.94
1 vs 5,6.370000000000001,61.75000000000001,55.69
1 vs 6,2.25,70.88,62.25000000000001
1 vs 7,4.81,62.06,52.129999999999995
1 vs 8,14.56,89.31,82.75
1 vs 9,16.439999999999998,86.56,81.06
2 vs 3,20.369999999999997,86.11999999999999,80.12
2 vs 4,25.119999999999997,88.75,84.75
2 vs 5,22.5,87.06,83.38
2 vs 6,28.689999999999998,87.5,82.69
2 vs 7,25.869999999999997,87.87,82.62
2 vs 8,1.5,79.44,74.44
2 vs 9,1.5,68.0,59.69
3 vs 4,4.31,66.81,59.309999999999995
3 vs 5,2.19,58.69,49.94
3 vs 6,1.25,70.30999999999999,58.379999999999995
3 vs 7,1.06,63.06,52.75
3 vs 8,32.75,89.44,84.94
3 vs 9,22.939999999999998,85.87,80.5
4 vs 5,10.37,67.06,63.24999999999999
4 vs 6,6.75,67.62,61.870000000000005
4 vs 7,1.37,69.0,55.620000000000005
4 vs 8,37.25,90.19,86.0
4 vs 9,22.31,86.69,82.37
5 vs 6,1.06,63.06,50.19
5 vs 7,1.0,61.370000000000005,52.690000000000005
5 vs 8,42.94,91.36999999999999,87.19
5 vs 9,29.060000000000002,86.37,82.19
6 vs 7,3.25,68.69,60.370000000000005
6 vs 8,41.81,91.0,87.81
6 vs 9,27.250000000000004,85.25,80.0
7 vs 8,30.44,91.12,87.5
7 vs 9,26.119999999999997,86.56,82.44
8 vs 9,0.37,72.11999999999999,60.440000000000005
