classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,9.0,2.75,10.81,33.56
0 vs 2,13.81,3.5000000000000004,15.75,39.87
0 vs 3,28.999999999999996,13.63,17.31,40.129999999999995
0 vs 4,37.75,14.44,20.810000000000002,43.94
0 vs 5,43.120000000000005,8.44,8.94,39.190000000000005
0 vs 6,22.5,9.19,20.13,41.620000000000005
0 vs 7,33.69,15.120000000000001,7.06,45.37
0 vs 8,17.94,1.1900000000000002,12.31,30.0
0 vs 9,14.44,1.87,8.870000000000001,33.19
1 vs 2,15.620000000000001,21.060000000000002,20.06,42.370000000000005
1 vs 3,2.31,0.06,2.56,14.75
1 vs 4,11.75,0.19,9.69,14.56
1 vs 5,5.62,0.25,3.62,12.0
1 vs 6,3.0,0.19,7.37,20.31
1 vs 7,4.6899999999999995,0.12,1.69,13.750000000000002
1 vs 8,17.25,10.81,30.880000000000003,46.37
1 vs 9,15.809999999999999,13.5,27.500000000000004,47.94
2 vs 3,8.94,18.63,33.25,41.06
2 vs 4,18.37,19.75,39.12,41.44
2 vs 5,12.870000000000001,19.81,34.13,45.190000000000005
2 vs 6,16.5,28.999999999999996,37.56,47.0
2 vs 7,18.44,30.06,33.12,42.0
2 vs 8,6.4399999999999995,0.5599999999999999,24.81,35.25
2 vs 9,2.44,0.0,6.1899999999999995,21.44
3 vs 4,2.56,0.06,1.0,11.63
3 vs 5,0.37,0.0,2.5,8.37
3 vs 6,2.25,0.12,14.37,17.810000000000002
3 vs 7,0.88,0.0,2.37,10.31
3 vs 8,26.619999999999997,25.06,48.69,41.44
3 vs 9,21.19,11.75,23.31,41.25
4 vs 5,22.25,0.9400000000000001,4.6899999999999995,19.25
4 vs 6,6.5,0.19,8.81,16.37
4 vs 7,2.62,0.44,10.25,18.63
4 vs 8,32.5,33.5,45.87,55.50000000000001
4 vs 9,15.5,15.310000000000002,26.56,44.0
5 vs 6,1.25,0.06,1.31,11.44
5 vs 7,2.37,0.0,4.37,9.44
5 vs 8,36.059999999999995,31.69,65.86999999999999,47.94
5 vs 9,23.0,14.499999999999998,25.5,46.0
6 vs 7,5.25,0.19,2.0,19.37
6 vs 8,30.56,23.380000000000003,69.75,53.31
6 vs 9,20.810000000000002,16.88,30.630000000000003,47.56
7 vs 8,27.689999999999998,26.87,55.94,54.0
7 vs 9,22.37,20.75,30.630000000000003,50.56
8 vs 9,5.56,0.0,8.62,21.75
