classes\target,mlpbcebp,mlpbceban,mlpbcescd
0 vs 1,54.81,50.690000000000005,36.809999999999995
0 vs 2,76.5,76.88000000000001,62.870000000000005
0 vs 3,59.0,60.0,58.440000000000005
0 vs 4,61.62,63.62,59.440000000000005
0 vs 5,61.809999999999995,57.99999999999999,59.0
0 vs 6,65.19,62.31,51.0
0 vs 7,67.86999999999999,68.87,54.44
0 vs 8,56.00000000000001,54.059999999999995,46.56
0 vs 9,69.37,68.12,64.38000000000001
1 vs 2,69.06,70.06,53.87
1 vs 3,25.06,23.69,24.560000000000002
1 vs 4,36.5,33.25,30.81
1 vs 5,35.620000000000005,24.69,20.87
1 vs 6,36.809999999999995,32.81,20.810000000000002
1 vs 7,35.809999999999995,23.119999999999997,16.5
1 vs 8,69.81,68.94,55.69
1 vs 9,67.44,68.12,63.94
2 vs 3,67.94,70.30999999999999,44.75
2 vs 4,74.31,78.06,46.19
2 vs 5,67.44,71.75,50.94
2 vs 6,66.75,71.44,48.25
2 vs 7,67.56,69.75,38.440000000000005
2 vs 8,67.06,66.31,43.38
2 vs 9,32.87,37.0,29.75
3 vs 4,35.56,26.369999999999997,27.560000000000002
3 vs 5,28.060000000000002,18.63,23.380000000000003
3 vs 6,27.0,25.56,18.0
3 vs 7,21.37,19.939999999999998,25.119999999999997
3 vs 8,69.31,71.06,53.559999999999995
3 vs 9,66.75,69.94,54.0
4 vs 5,48.06,34.0,40.0
4 vs 6,47.19,39.5,33.06
4 vs 7,32.81,22.439999999999998,20.13
4 vs 8,68.62,71.63000000000001,59.870000000000005
4 vs 9,69.75,71.88,63.5
5 vs 6,25.869999999999997,25.69,16.37
5 vs 7,28.810000000000002,20.810000000000002,20.369999999999997
5 vs 8,69.12,72.94,57.56
5 vs 9,66.62,69.12,53.620000000000005
6 vs 7,28.939999999999998,27.500000000000004,26.75
6 vs 8,76.44,77.56,63.62
6 vs 9,67.94,67.81,47.0
7 vs 8,75.94,74.44,55.25
7 vs 9,65.86999999999999,67.86999999999999,54.37
8 vs 9,55.059999999999995,54.44,38.87
