classes\target,mlpbcebp,mlp01scd,mlpbcescd
0 vs 1,4.9399999999999995,81.69,75.31
0 vs 2,5.87,82.94,78.44
0 vs 3,16.189999999999998,83.94,80.75
0 vs 4,17.560000000000002,84.5,80.44
0 vs 5,23.25,82.80999999999999,79.56
0 vs 6,16.81,84.31,81.12
0 vs 7,32.31,86.0,84.25
0 vs 8,5.5,76.5,70.06
0 vs 9,7.12,78.31,73.25
1 vs 2,18.69,85.19,82.87
1 vs 3,0.31,64.88000000000001,53.0
1 vs 4,3.19,67.56,57.99999999999999
1 vs 5,7.6899999999999995,62.12,52.5
1 vs 6,0.62,71.0,61.370000000000005
1 vs 7,4.25,60.69,47.56
1 vs 8,17.62,87.62,84.25
1 vs 9,15.75,84.87,81.06
2 vs 3,9.69,84.25,80.12
2 vs 4,14.249999999999998,86.61999999999999,84.56
2 vs 5,14.75,85.37,83.12
2 vs 6,20.369999999999997,86.37,83.56
2 vs 7,23.5,86.06,83.31
2 vs 8,0.88,78.62,72.81
2 vs 9,0.12,68.44,60.12
3 vs 4,2.19,68.06,58.56
3 vs 5,0.5599999999999999,58.56,45.62
3 vs 6,0.25,69.31,58.809999999999995
3 vs 7,0.06,61.75000000000001,49.75
3 vs 8,25.5,88.81,86.44
3 vs 9,16.619999999999997,84.0,81.12
4 vs 5,19.0,65.56,59.75
4 vs 6,9.81,69.62,60.0
4 vs 7,2.56,69.12,59.13
4 vs 8,34.25,90.19,88.06
4 vs 9,10.69,85.75,82.80999999999999
5 vs 6,0.44,63.74999999999999,52.190000000000005
5 vs 7,0.75,62.19,47.94
5 vs 8,34.56,90.62,89.0
5 vs 9,15.0,85.0,81.81
6 vs 7,3.44,68.75,58.19
6 vs 8,22.939999999999998,89.69,88.19
6 vs 9,18.44,84.56,81.37
7 vs 8,30.94,90.69,88.69
7 vs 9,15.310000000000002,85.37,83.06
8 vs 9,1.6199999999999999,72.37,62.62
