classes\target,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,4.19,80.94,75.5
0 vs 2,9.56,84.94,80.87
0 vs 3,16.12,84.25,80.87
0 vs 4,27.250000000000004,84.61999999999999,82.06
0 vs 5,23.75,82.94,80.12
0 vs 6,10.94,85.11999999999999,81.87
0 vs 7,22.189999999999998,86.31,83.94
0 vs 8,9.75,77.56,73.61999999999999
0 vs 9,9.25,79.06,74.69
1 vs 2,12.620000000000001,87.44,83.81
1 vs 3,1.5599999999999998,64.19,57.25
1 vs 4,7.870000000000001,67.62,64.5
1 vs 5,6.5,62.12,57.56
1 vs 6,2.19,71.31,65.19
1 vs 7,4.63,61.94,56.120000000000005
1 vs 8,12.620000000000001,89.31,84.87
1 vs 9,12.120000000000001,86.87,82.37
2 vs 3,8.19,86.0,81.87
2 vs 4,16.12,88.31,85.69
2 vs 5,14.75,86.81,84.44
2 vs 6,16.619999999999997,87.69,83.75
2 vs 7,14.62,87.81,83.94
2 vs 8,1.31,80.5,75.94
2 vs 9,1.25,68.56,62.62
3 vs 4,4.25,67.12,63.24999999999999
3 vs 5,2.19,58.940000000000005,54.50000000000001
3 vs 6,1.25,68.94,62.69
3 vs 7,1.06,63.190000000000005,56.49999999999999
3 vs 8,25.869999999999997,89.0,86.5
3 vs 9,20.06,86.0,82.37
4 vs 5,9.06,67.62,64.81
4 vs 6,6.69,68.0,63.62
4 vs 7,1.37,69.19,61.06
4 vs 8,32.690000000000005,90.19,87.69
4 vs 9,16.88,87.0,83.44
5 vs 6,1.06,63.24999999999999,55.69
5 vs 7,1.06,61.0,56.44
5 vs 8,39.69,91.06,88.31
5 vs 9,25.19,86.44,83.5
6 vs 7,3.25,68.56,63.690000000000005
6 vs 8,39.0,90.44,89.31
6 vs 9,21.69,85.61999999999999,81.87
7 vs 8,24.44,91.12,88.81
7 vs 9,19.939999999999998,86.19,84.0
8 vs 9,0.31,72.31,63.24999999999999
