classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,3.1199999999999997,1.25,0.19,0.25
0 vs 2,5.3100000000000005,1.81,10.25,0.37
0 vs 3,15.0,10.440000000000001,5.0,0.19
0 vs 4,19.5,7.12,5.37,2.56
0 vs 5,24.94,7.6899999999999995,1.81,0.19
0 vs 6,13.63,8.690000000000001,10.56,0.37
0 vs 7,18.25,14.940000000000001,1.69,0.62
0 vs 8,7.37,0.75,1.7500000000000002,0.5
0 vs 9,5.75,1.81,2.94,0.12
1 vs 2,5.0,5.81,13.120000000000001,0.88
1 vs 3,0.25,0.06,0.06,0.12
1 vs 4,3.81,0.0,1.06,0.0
1 vs 5,2.31,0.06,0.12,0.0
1 vs 6,0.9400000000000001,0.12,0.44,0.19
1 vs 7,2.25,0.0,0.0,0.0
1 vs 8,7.06,9.56,9.56,4.0
1 vs 9,6.25,7.5600000000000005,17.560000000000002,4.37
2 vs 3,3.37,3.5000000000000004,25.56,0.0
2 vs 4,8.44,4.6899999999999995,23.119999999999997,0.06
2 vs 5,4.75,4.0,20.810000000000002,0.19
2 vs 6,4.6899999999999995,6.88,27.310000000000002,0.0
2 vs 7,6.94,7.5,22.12,0.12
2 vs 8,0.9400000000000001,0.12,17.62,0.25
2 vs 9,0.31,0.0,0.19,0.06
3 vs 4,0.31,0.0,0.0,0.0
3 vs 5,0.06,0.0,0.0,0.0
3 vs 6,0.44,0.12,0.12,0.44
3 vs 7,0.25,0.0,0.0,0.0
3 vs 8,13.88,11.19,9.44,2.31
3 vs 9,11.12,7.19,15.25,3.75
4 vs 5,13.88,0.37,0.5599999999999999,1.1199999999999999
4 vs 6,2.87,0.06,3.44,0.31
4 vs 7,1.0,0.31,2.19,0.69
4 vs 8,18.81,15.190000000000001,18.37,9.31
4 vs 9,8.559999999999999,2.94,21.12,3.37
5 vs 6,0.12,0.06,0.0,0.06
5 vs 7,0.69,0.0,0.12,0.0
5 vs 8,24.310000000000002,17.0,19.439999999999998,4.19
5 vs 9,15.25,5.37,18.0,4.12
6 vs 7,2.5,0.12,0.19,0.19
6 vs 8,22.5,9.0,15.06,5.62
6 vs 9,11.44,5.94,11.44,5.19
7 vs 8,14.69,15.25,19.31,7.249999999999999
7 vs 9,11.75,5.19,4.5600000000000005,6.88
8 vs 9,1.6199999999999999,0.0,4.5,0.12
