classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd,classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,95.04 (90.75),97.26 (87.90),90.24 (85.40),92.92 (89.45),0 vs 1,92.20 (81.19),95.50 (81.94),96.30 (80.19),100.00 (84.06)
0 vs 2,90.40 (85.25),92.34 (84.20),85.52 (80.80),90.28 (85.25),0 vs 2,96.60 (85.50),97.20 (83.94),97.50 (86.81),100.00 (88.50)
0 vs 3,97.25 (90.35),95.65 (88.45),89.56 (85.55),93.53 (88.95),0 vs 3,93.30 (85.12),94.10 (84.88),96.50 (84.81),100.00 (86.81)
0 vs 4,95.20 (89.80),94.52 (88.30),88.87 (86.00),92.98 (88.70),0 vs 4,92.50 (85.69),96.30 (85.25),97.20 (84.81),100.00 (85.25)
0 vs 5,97.45 (90.90),97.11 (89.25),91.02 (86.30),94.66 (90.65),0 vs 5,91.50 (85.38),94.70 (84.81),97.20 (85.81),100.00 (87.94)
0 vs 6,97.18 (93.40),97.28 (92.00),93.51 (90.70),96.22 (92.70),0 vs 6,94.40 (86.75),95.20 (86.44),96.90 (87.56),100.00 (88.88)
0 vs 7,96.65 (90.25),97.27 (88.20),89.90 (85.40),93.80 (89.65),0 vs 7,93.20 (87.56),92.10 (87.38),97.60 (88.19),100.00 (90.50)
0 vs 8,92.28 (83.25),92.66 (81.75),84.27 (78.90),88.45 (82.95),0 vs 8,86.90 (78.19),93.20 (78.69),94.30 (75.44),100.00 (80.56)
0 vs 9,93.83 (88.55),96.27 (85.05),89.69 (84.85),92.75 (87.25),0 vs 9,95.20 (81.50),94.90 (80.69),96.30 (83.38),100.00 (84.38)
1 vs 2,98.32 (92.25),98.05 (89.55),93.67 (89.45),96.48 (92.00),1 vs 2,97.60 (88.31),95.60 (86.75),98.60 (86.94),100.00 (91.00)
1 vs 3,96.63 (91.10),98.04 (89.45),92.00 (87.35),96.17 (91.15),1 vs 3,77.80 (65.06),89.80 (66.56),95.90 (64.75),100.00 (67.00)
1 vs 4,98.65 (93.85),98.32 (91.75),94.37 (90.50),97.32 (93.50),1 vs 4,78.50 (68.44),93.00 (70.31),96.60 (67.94),100.00 (70.75)
1 vs 5,99.52 (93.10),98.32 (90.35),92.64 (88.10),96.72 (92.50),1 vs 5,72.90 (62.94),87.70 (64.06),96.50 (63.69),100.00 (64.75)
1 vs 6,99.33 (94.60),98.82 (92.10),95.66 (92.65),98.04 (94.50),1 vs 6,82.40 (72.81),92.50 (73.19),97.50 (69.75),100.00 (77.00)
