classes,cnnbcebp,cnnbceban,cnn01abp
0 vs 1,100.00 (94.88),99.90 (95.00),100.00 (94.38)
0 vs 2,100.00 (95.00),99.80 (95.50),100.00 (93.81)
0 vs 3,99.80 (98.19),99.90 (97.81),100.00 (97.06)
0 vs 4,100.00 (98.19),99.80 (97.81),100.00 (97.19)
0 vs 5,99.90 (98.12),100.00 (98.50),100.00 (97.56)
0 vs 6,99.90 (98.62),100.00 (98.94),100.00 (97.75)
0 vs 7,99.70 (98.81),99.80 (98.88),100.00 (98.31)
0 vs 8,99.90 (93.38),100.00 (92.50),100.00 (89.44)
0 vs 9,99.90 (94.12),99.60 (94.25),100.00 (92.75)
1 vs 2,100.00 (97.12),100.00 (96.94),100.00 (96.00)
1 vs 3,100.00 (86.44),99.90 (82.44),100.00 (83.69)
1 vs 4,100.00 (92.12),99.70 (90.38),100.00 (88.31)
1 vs 5,99.90 (89.94),99.90 (88.56),100.00 (86.81)
1 vs 6,99.90 (94.50),99.90 (93.62),100.00 (93.12)
1 vs 7,99.90 (89.44),99.50 (87.94),100.00 (85.94)
1 vs 8,100.00 (96.88),100.00 (97.69),100.00 (97.00)
1 vs 9,100.00 (96.62),99.80 (96.56),100.00 (95.44)
2 vs 3,100.00 (97.25),100.00 (97.56),100.00 (96.56)
2 vs 4,100.00 (97.25),100.00 (98.00),100.00 (97.19)
2 vs 5,99.60 (97.69),100.00 (98.06),100.00 (97.12)
2 vs 6,100.00 (97.00),100.00 (97.19),100.00 (96.31)
2 vs 7,100.00 (98.12),100.00 (98.50),100.00 (97.75)
2 vs 8,100.00 (95.00),100.00 (94.88),100.00 (94.25)
2 vs 9,100.00 (89.50),99.90 (90.19),100.00 (88.44)
3 vs 4,98.90 (85.12),100.00 (84.81),100.00 (81.44)
3 vs 5,99.50 (80.44),99.50 (80.56),100.00 (76.50)
3 vs 6,100.00 (93.38),100.00 (92.38),100.00 (91.38)
3 vs 7,99.40 (83.75),99.70 (84.38),100.00 (80.06)
3 vs 8,99.80 (97.75),100.00 (97.56),100.00 (97.31)
3 vs 9,99.80 (96.12),99.80 (96.50),100.00 (95.62)
4 vs 5,99.70 (86.50),99.90 (84.75),100.00 (84.62)
4 vs 6,99.90 (90.56),99.60 (90.38),100.00 (88.94)
4 vs 7,99.30 (89.06),100.00 (87.31),100.00 (86.06)
4 vs 8,100.00 (98.12),100.00 (98.00),100.00 (97.75)
4 vs 9,100.00 (96.94),99.90 (96.62),100.00 (95.81)
5 vs 6,99.70 (85.50),100.00 (83.81),100.00 (81.31)
5 vs 7,99.50 (80.56),99.70 (79.38),100.00 (78.25)
5 vs 8,99.80 (98.50),100.00 (98.44),100.00 (97.81)
5 vs 9,100.00 (97.25),99.90 (97.44),100.00 (96.19)
6 vs 7,100.00 (91.00),100.00 (90.12),100.00 (89.19)
6 vs 8,99.80 (98.62),100.00 (98.12),100.00 (98.00)
6 vs 9,100.00 (96.62),100.00 (96.50),100.00 (95.81)
7 vs 8,99.90 (98.56),100.00 (98.94),100.00 (98.50)
7 vs 9,99.90 (97.62),100.00 (97.88),100.00 (96.44)
8 vs 9,99.90 (91.50),99.90 (91.50),100.00 (89.81)
