classes,cnnbcebp,cnnbceban,cnn01abp
0 vs 1,1,0.999,1
0 vs 2,1,0.998,1
0 vs 3,0.998,0.999,1
0 vs 4,1,0.998,1
0 vs 5,0.999,1,1
0 vs 6,0.999,1,1
0 vs 7,0.997,0.998,1
0 vs 8,0.999,1,1
0 vs 9,0.999,0.996,1
1 vs 2,1,1,1
1 vs 3,1,0.999,1
1 vs 4,1,0.997,1
1 vs 5,0.999,0.999,1
1 vs 6,0.999,0.999,1
1 vs 7,0.999,0.995,1
1 vs 8,1,1,1
1 vs 9,1,0.998,1
2 vs 3,1,1,1
2 vs 4,1,1,1
2 vs 5,0.996,1,1
2 vs 6,1,1,1
2 vs 7,1,1,1
2 vs 8,1,1,1
2 vs 9,1,0.999,1
3 vs 4,0.989,1,1
3 vs 5,0.995,0.995,1
3 vs 6,1,1,1
3 vs 7,0.994,0.997,1
3 vs 8,0.998,1,1
3 vs 9,0.998,0.998,1
4 vs 5,0.997,0.999,1
4 vs 6,0.999,0.996,1
4 vs 7,0.993,1,1
4 vs 8,1,1,1
4 vs 9,1,0.999,1
5 vs 6,0.997,1,1
5 vs 7,0.995,0.997,1
5 vs 8,0.998,1,1
5 vs 9,1,0.999,1
6 vs 7,1,1,1
6 vs 8,0.998,1,1
6 vs 9,1,1,1
7 vs 8,0.999,1,1
7 vs 9,0.999,1,1
8 vs 9,0.999,0.999,1
,,,
,0.998488889,0.998955556,1
,1,0.999,1
