classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,92.20 (81.19),95.50 (81.94),96.30 (80.19),100.00 (84.06)
0 vs 2,96.60 (85.50),97.20 (83.94),97.50 (86.81),100.00 (88.50)
0 vs 3,93.30 (85.12),94.10 (84.88),96.50 (84.81),100.00 (86.81)
0 vs 4,92.50 (85.69),96.30 (85.25),97.20 (84.81),100.00 (85.25)
0 vs 5,91.50 (85.38),94.70 (84.81),97.20 (85.81),100.00 (87.94)
0 vs 6,94.40 (86.75),95.20 (86.44),96.90 (87.56),100.00 (88.88)
0 vs 7,93.20 (87.56),92.10 (87.38),97.60 (88.19),100.00 (90.50)
0 vs 8,86.90 (78.19),93.20 (78.69),94.30 (75.44),100.00 (80.56)
0 vs 9,95.20 (81.50),94.90 (80.69),96.30 (83.38),100.00 (84.38)
1 vs 2,97.60 (88.31),95.60 (86.75),98.60 (86.94),100.00 (91.00)
1 vs 3,77.80 (65.06),89.80 (66.56),95.90 (64.75),100.00 (67.00)
1 vs 4,78.50 (68.44),93.00 (70.31),96.60 (67.94),100.00 (70.75)
1 vs 5,72.90 (62.94),87.70 (64.06),96.50 (63.69),100.00 (64.75)
1 vs 6,82.40 (72.81),92.50 (73.19),97.50 (69.75),100.00 (77.00)
1 vs 7,77.20 (63.06),88.90 (62.69),95.10 (61.12),100.00 (63.50)
1 vs 8,97.70 (89.94),97.20 (88.50),97.00 (87.81),100.00 (90.12)
1 vs 9,98.20 (87.50),95.90 (85.62),97.80 (85.62),100.00 (88.69)
2 vs 3,98.60 (86.56),97.00 (84.88),99.00 (83.44),100.00 (87.38)
2 vs 4,99.00 (89.12),96.70 (87.44),98.30 (88.75),100.00 (90.00)
2 vs 5,98.60 (88.44),96.60 (86.62),97.40 (86.06),100.00 (89.12)
2 vs 6,98.80 (88.62),97.00 (87.12),98.70 (86.12),100.00 (88.75)
2 vs 7,99.60 (88.94),96.50 (86.75),99.20 (85.88),100.00 (89.44)
2 vs 8,94.30 (81.88),95.80 (81.38),96.40 (82.94),100.00 (84.94)
2 vs 9,84.60 (70.31),92.20 (70.50),96.60 (67.75),100.00 (69.88)
3 vs 4,76.70 (68.94),90.00 (70.50),97.00 (66.88),100.00 (68.25)
3 vs 5,66.80 (59.69),86.90 (60.25),97.30 (56.88),100.00 (58.94)
3 vs 6,81.60 (70.62),93.50 (71.44),96.90 (69.38),100.00 (72.06)
3 vs 7,77.60 (64.81),88.70 (65.81),95.90 (59.38),100.00 (63.38)
3 vs 8,96.00 (89.44),96.80 (89.44),96.90 (88.31),100.00 (90.06)
3 vs 9,93.10 (86.75),95.70 (84.88),97.90 (85.38),100.00 (87.62)
4 vs 5,79.70 (68.62),91.50 (68.50),95.60 (68.75),100.00 (70.75)
4 vs 6,76.80 (68.25),91.10 (71.38),96.40 (73.31),100.00 (77.06)
4 vs 7,83.50 (71.19),92.20 (71.62),96.50 (68.19),100.00 (73.69)
4 vs 8,97.50 (90.69),97.80 (90.75),97.70 (89.19),100.00 (91.62)
4 vs 9,97.60 (88.00),97.00 (86.69),98.20 (87.44),100.00 (89.50)
5 vs 6,78.30 (65.12),88.70 (65.50),96.10 (61.75),100.00 (66.69)
5 vs 7,75.40 (62.94),90.50 (64.81),95.60 (59.88),100.00 (64.25)
5 vs 8,94.50 (91.81),96.00 (91.44),97.90 (89.88),100.00 (91.56)
5 vs 9,92.70 (87.06),95.60 (85.94),97.70 (87.00),100.00 (88.38)
6 vs 7,83.00 (70.56),93.90 (70.81),96.60 (65.50),100.00 (72.62)
6 vs 8,96.40 (91.50),98.40 (90.94),97.80 (90.12),100.00 (90.62)
6 vs 9,95.70 (86.31),95.80 (85.69),97.10 (85.19),100.00 (87.25)
7 vs 8,97.60 (91.62),97.50 (91.31),97.20 (89.94),100.00 (92.38)
7 vs 9,95.10 (87.38),96.40 (86.69),97.10 (85.00),100.00 (89.50)
8 vs 9,89.60 (74.31),94.80 (75.06),96.10 (75.94),100.00 (77.25)
