classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,41.07767857142857,8.057321428571429,70.92571428571429,74.73517857142856
0 vs 2,40.90982142857143,26.048571428571428,81.18089285714285,83.11339285714284
0 vs 3,48.79642857142857,34.38,78.76803571428572,81.09857142857143
0 vs 4,62.910892857142876,43.64803571428572,77.82196428571427,78.89714285714285
0 vs 5,60.58607142857143,20.364642857142854,79.1075,83.11964285714285
0 vs 6,52.7125,21.056785714285713,79.17089285714286,81.62446428571428
0 vs 7,63.927857142857135,56.377857142857145,77.97892857142857,84.08160714285714
0 vs 8,47.49035714285714,4.493571428571428,71.39285714285715,70.47803571428571
0 vs 9,48.9825,14.060714285714287,69.55535714285715,77.62928571428571
1 vs 2,38.693214285714284,52.85964285714285,78.17678571428571,85.11125
1 vs 3,28.944821428571426,9.349642857142857,58.163750000000014,56.52285714285714
1 vs 4,45.95267857142857,3.109642857142857,58.75017857142858,57.825535714285714
1 vs 5,41.58625,19.73875,55.97303571428572,52.03339285714286
1 vs 6,33.04035714285715,1.2794642857142855,61.737321428571434,65.57446428571428
1 vs 7,43.03517857142857,5.225178571428572,56.759821428571435,58.300535714285715
1 vs 8,40.57839285714286,33.99017857142857,72.95089285714286,85.16732142857143
1 vs 9,32.33732142857143,47.01214285714286,75.70160714285714,83.6305357142857
2 vs 3,28.255892857142857,44.791607142857146,77.38571428571429,82.72767857142857
2 vs 4,44.21732142857143,49.92839285714285,82.28267857142856,86.32571428571428
2 vs 5,31.959285714285713,49.69660714285715,74.20482142857144,84.68785714285715
2 vs 6,30.88214285714286,62.44410714285715,76.09517857142856,83.34821428571428
2 vs 7,25.893214285714283,59.526785714285715,78.51017857142857,85.01214285714286
2 vs 8,24.813392857142862,11.196785714285715,73.27803571428572,77.52624999999999
2 vs 9,26.68107142857143,7.72125,60.02607142857143,60.39142857142856
3 vs 4,44.95321428571429,15.51160714285714,59.786964285714284,53.84785714285714
3 vs 5,38.894285714285715,10.895357142857144,52.21035714285714,50.19892857142857
3 vs 6,28.617499999999996,1.5025,61.58642857142856,59.99535714285715
3 vs 7,19.124464285714286,1.8080357142857142,55.564821428571435,52.36696428571428
3 vs 8,52.438571428571436,60.33392857142859,81.18803571428572,85.38607142857143
3 vs 9,46.409464285714286,45.92875,75.77982142857144,80.49714285714285
4 vs 5,53.379821428571425,11.080357142857142,59.03196428571428,59.974821428571424
4 vs 6,45.47535714285714,2.570357142857143,64.64303571428573,63.33339285714285
4 vs 7,34.07410714285714,4.0633928571428575,61.24267857142858,62.696607142857154
4 vs 8,49.92357142857143,68.3742857142857,82.98249999999999,87.64571428571429
4 vs 9,30.599642857142857,42.87375,81.00017857142858,84.07303571428571
5 vs 6,33.49142857142858,3.68875,55.47392857142858,51.988035714285715
5 vs 7,29.38303571428572,0.6214285714285714,55.50696428571429,52.136250000000004
5 vs 8,59.16660714285714,71.89214285714286,80.06660714285715,86.72357142857142
5 vs 9,47.15410714285714,48.43589285714285,79.45946428571429,82.35946428571428
6 vs 7,34.935,1.9553571428571428,60.77339285714286,61.15857142857143
6 vs 8,59.153214285714284,60.18285714285715,84.30142857142856,86.23857142857142
6 vs 9,39.39232142857143,55.692321428571425,77.64321428571428,81.35767857142856
7 vs 8,50.35285714285715,63.09410714285715,83.0725,88.89339285714286
7 vs 9,46.25892857142858,49.90428571428572,79.11767857142857,84.05714285714286
8 vs 9,42.05928571428572,3.6905357142857143,61.67767857142857,67.21267857142857
