target,mlpbceban,mlp01scd,mlpbcescd,mlpbcebp,mlp01scd,mlpbcescd,mlpbcebp,mlpbceban,mlpbcescd,mlpbcebp,mlpbceban,mlp01scd
0 vs 1,8.0,53.31,6.619999999999999,4.87,52.059999999999995,2.62,80.44,81.25,37.5,73.11999999999999,73.81,56.37
0 vs 2,11.87,75.25,27.310000000000002,11.37,75.56,25.69,85.25,82.80999999999999,56.49999999999999,79.94,77.25,73.75
0 vs 3,31.369999999999997,60.19,25.119999999999997,18.81,59.56,14.19,83.69,83.38,46.88,80.36999999999999,79.25,71.0
0 vs 4,32.940000000000005,62.69,30.25,28.560000000000002,62.0,16.0,84.75,84.38,61.12,80.94,79.19,73.5
0 vs 5,41.56,62.370000000000005,41.56,23.75,58.63,11.31,82.37,81.94,47.69,79.06,78.31,70.19
0 vs 6,21.63,65.62,18.12,11.37,62.5,11.5,84.94,84.13000000000001,50.31,81.12,80.06,69.56
0 vs 7,38.690000000000005,67.81,39.44,27.250000000000004,67.31,28.249999999999996,85.94000000000001,85.75,35.69,83.44,83.88,71.75
0 vs 8,11.37,56.49999999999999,8.81,10.13,54.37,0.9400000000000001,77.25,75.87,33.19,70.75,66.19,58.5
0 vs 9,12.19,69.5,15.440000000000001,9.5,68.62,8.5,78.86999999999999,77.75,58.63,74.0,72.11999999999999,69.06
1 vs 2,28.060000000000002,69.94,33.0,21.44,70.5,38.12,87.12,85.31,67.81,82.37,81.37,73.31
1 vs 3,1.81,23.87,0.88,1.94,22.06,0.0,64.88000000000001,65.25,48.19,53.75,47.370000000000005,41.370000000000005
1 vs 4,2.87,36.19,2.75,8.5,32.31,0.44,67.62,66.86999999999999,39.0,62.94,53.0,50.370000000000005
1 vs 5,3.6900000000000004,32.87,1.7500000000000002,6.370000000000001,21.560000000000002,0.12,61.75000000000001,60.25,44.940000000000005,55.69,46.94,38.62
1 vs 6,1.94,34.870000000000005,2.69,2.25,33.12,0.44,70.88,70.88,57.19,62.25000000000001,56.69,42.94
1 vs 7,1.94,32.690000000000005,2.81,4.81,22.56,0.37,62.06,59.62,25.119999999999997,52.129999999999995,41.81,27.750000000000004
1 vs 8,23.56,71.13000000000001,19.25,14.56,68.5,17.69,89.31,87.62,68.12,82.75,82.94,73.75
1 vs 9,23.94,66.5,19.37,16.439999999999998,67.0,21.69,86.56,85.06,83.0,81.06,80.06,75.62
2 vs 3,17.19,67.69,18.94,20.369999999999997,69.25,28.689999999999998,86.11999999999999,84.06,77.75,80.12,78.94,67.06
2 vs 4,23.75,75.25,33.0,25.119999999999997,77.19,38.12,88.75,86.81,70.63000000000001,84.75,83.5,72.37
2 vs 5,20.75,68.19,23.69,22.5,71.06,35.31,87.06,85.37,73.19,83.38,82.25,72.5
2 vs 6,30.06,67.44,28.249999999999996,28.689999999999998,70.75,41.0,87.5,85.75,80.06,82.69,82.80999999999999,69.87
2 vs 7,32.81,70.06,27.750000000000004,25.869999999999997,69.19,37.69,87.87,86.11999999999999,68.87,82.62,82.44,66.56
2 vs 8,5.75,66.0,8.37,1.5,66.25,2.62,79.44,77.63,56.06,74.44,70.25,68.12
2 vs 9,1.37,32.12,1.81,1.5,35.75,0.19,68.0,68.69,55.120000000000005,59.69,55.50000000000001,46.75
3 vs 4,3.0,33.56,1.0,4.31,24.19,0.0,66.81,66.86999999999999,46.56,59.309999999999995,51.5,44.940000000000005
3 vs 5,0.9400000000000001,27.88,0.12,2.19,14.940000000000001,0.0,58.69,57.75,41.44,49.94,37.13,32.81
3 vs 6,1.37,25.56,0.9400000000000001,1.25,24.310000000000002,0.06,70.30999999999999,70.88,49.25,58.379999999999995,53.25,38.690000000000005
3 vs 7,0.44,20.62,0.12,1.06,20.560000000000002,0.0,63.06,61.12,28.310000000000002,52.75,42.620000000000005,38.06
3 vs 8,35.94,71.44,25.119999999999997,32.75,71.56,29.25,89.44,89.5,83.31,84.94,85.06,75.31
3 vs 9,25.19,66.25,21.88,22.939999999999998,68.62,21.81,85.87,84.06,62.74999999999999,80.5,79.62,70.0
4 vs 5,15.06,44.62,10.37,10.37,34.44,0.75,67.06,65.06,18.5,63.24999999999999,55.25,47.0
4 vs 6,4.25,45.37,3.94,6.75,38.25,0.37,67.62,69.75,40.0,61.870000000000005,54.190000000000005,44.690000000000005
4 vs 7,3.06,29.189999999999998,2.06,1.37,21.69,0.37,69.0,68.69,44.06,55.620000000000005,51.559999999999995,39.69
4 vs 8,43.56,71.06,32.440000000000005,37.25,71.06,35.0,90.19,90.13,87.56,86.0,86.75,80.87
4 vs 9,16.939999999999998,70.12,18.0,22.31,69.87,24.25,86.69,85.81,60.0,82.37,82.12,75.5
5 vs 6,1.1900000000000002,23.69,0.44,1.06,25.0,0.06,63.06,63.0,27.500000000000004,50.19,44.0,31.69
5 vs 7,1.37,25.869999999999997,0.44,1.0,21.560000000000002,0.0,61.370000000000005,62.62,23.189999999999998,52.690000000000005,40.94,26.619999999999997
5 vs 8,44.190000000000005,70.37,30.56,42.94,73.31,38.31,91.36999999999999,91.0,87.44,87.19,87.25,78.0
5 vs 9,23.0,66.06,21.560000000000002,29.060000000000002,68.44,23.56,86.37,85.25,71.38,82.19,80.62,70.75
6 vs 7,2.56,27.939999999999998,2.62,3.25,26.810000000000002,0.12,68.69,68.19,49.120000000000005,60.370000000000005,52.44,48.06
6 vs 8,31.44,75.75,29.37,41.81,77.69,29.94,91.0,90.13,86.0,87.81,86.44,79.86999999999999
6 vs 9,26.0,67.94,23.06,27.250000000000004,67.31,28.62,85.25,84.38,65.25,80.0,80.36999999999999,67.81
7 vs 8,38.690000000000005,76.5,34.62,30.44,74.37,36.309999999999995,91.12,90.56,73.61999999999999,87.5,87.75,77.0
7 vs 9,25.0,66.56,27.310000000000002,26.119999999999997,66.19,32.190000000000005,86.56,85.87,78.56,82.44,81.37,72.19
8 vs 9,4.9399999999999995,52.629999999999995,8.559999999999999,0.37,53.5,0.37,72.11999999999999,71.88,16.37,60.440000000000005,59.809999999999995,54.190000000000005
