classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,50.736785714285716,6.10125,71.3607142857143,78.02857142857142
0 vs 2,53.891071428571436,25.420714285714286,77.24196428571429,84.59982142857143
0 vs 3,53.927857142857135,33.79071428571429,79.4817857142857,83.18285714285716
0 vs 4,68.33803571428572,42.14232142857143,77.76910714285715,81.76410714285714
0 vs 5,67.74714285714286,17.393214285714283,78.77696428571429,84.2805357142857
0 vs 6,64.18071428571429,20.26517857142857,80.63535714285715,84.29892857142859
0 vs 7,76.2325,58.84178571428571,78.39785714285713,85.95214285714286
0 vs 8,54.72642857142858,3.1785714285714284,70.02482142857144,75.19982142857143
0 vs 9,58.75874999999999,12.627857142857144,69.50178571428572,79.23910714285715
1 vs 2,51.21767857142857,56.86875,73.60375,86.62625
1 vs 3,38.81375,9.987500000000002,58.23875000000002,61.29464285714287
1 vs 4,54.40464285714286,2.7567857142857144,58.45928571428571,63.85089285714286
1 vs 5,50.62767857142857,20.825892857142854,55.576249999999995,58.11428571428571
1 vs 6,46.80642857142857,1.0044642857142858,62.111250000000005,69.37767857142858
1 vs 7,52.06696428571428,5.667678571428571,56.87678571428572,60.12428571428572
1 vs 8,51.77732142857143,32.38785714285714,73.06982142857143,86.86035714285714
1 vs 9,42.450714285714284,49.238571428571426,75.50035714285714,85.37089285714285
2 vs 3,37.739464285714284,45.115,75.88053571428571,84.44196428571428
2 vs 4,51.62714285714285,53.06142857142857,76.15982142857143,87.47749999999999
2 vs 5,35.830178571428576,52.35375,77.45178571428572,86.15053571428571
2 vs 6,33.84214285714285,65.60928571428572,76.06178571428572,85.52160714285714
2 vs 7,34.24053571428572,62.495,79.03964285714285,86.51857142857143
2 vs 8,33.64910714285714,11.201071428571428,73.66178571428571,80.02749999999999
2 vs 9,38.11017857142858,7.725357142857144,60.10892857142858,64.23178571428572
3 vs 4,53.340357142857144,18.03535714285714,59.96446428571429,61.088214285714294
3 vs 5,45.036964285714284,12.277678571428572,53.42678571428572,55.23142857142857
3 vs 6,40.43750000000001,1.2051785714285712,60.55517857142857,66.00482142857143
3 vs 7,27.076964285714283,1.662857142857143,55.202678571428564,58.097857142857144
3 vs 8,58.471428571428575,63.676785714285714,81.26482142857144,87.14035714285714
3 vs 9,51.67267857142858,48.018214285714286,76.35053571428571,83.03839285714284
4 vs 5,58.01875,11.425357142857141,58.227142857142866,64.94250000000001
4 vs 6,56.89660714285715,1.3535714285714286,63.91232142857143,68.95535714285714
4 vs 7,47.69607142857143,2.6971428571428575,61.35839285714286,68.0125
4 vs 8,53.661964285714284,72.46285714285715,81.93624999999999,89.12928571428573
4 vs 9,37.013749999999995,44.92785714285715,81.07642857142856,85.9517857142857
5 vs 6,42.98232142857143,4.235535714285714,55.38053571428571,59.275178571428576
5 vs 7,41.354464285714286,0.4555357142857143,56.291607142857146,57.475178571428565
5 vs 8,62.836785714285725,75.54142857142858,82.94196428571429,88.52142857142857
5 vs 9,52.88375,52.72071428571429,77.69678571428571,84.43482142857144
6 vs 7,47.72392857142857,1.2385714285714287,59.57910714285715,65.79196428571429
6 vs 8,64.06732142857143,63.61285714285714,84.55303571428571,88.50214285714286
6 vs 9,48.90785714285714,59.71035714285714,76.41321428571428,83.34607142857143
7 vs 8,60.09107142857142,66.57910714285714,82.45214285714286,90.00714285714285
7 vs 9,56.72125,55.081250000000004,79.38839285714285,85.87946428571429
8 vs 9,51.9725,3.470714285714286,62.416785714285716,70.75089285714287
