target,mlpbceban,mlp01scd,mlpbcescd,mlpbcebp,mlp01scd,mlpbcescd,mlpbcebp,mlpbceban,mlpbcescd,mlpbcebp,mlpbceban,mlp01scd
0 vs 1,4.9399999999999995,54.81,3.19,4.19,50.690000000000005,2.25,80.94,81.69,37.5,75.5,75.31,36.809999999999995
0 vs 2,5.87,76.5,23.380000000000003,9.56,76.88000000000001,25.44,84.94,82.94,47.620000000000005,80.87,78.44,62.870000000000005
0 vs 3,16.189999999999998,59.0,17.25,16.12,60.0,11.12,84.25,83.94,64.56,80.87,80.75,58.440000000000005
0 vs 4,17.560000000000002,61.62,15.0,27.250000000000004,63.62,9.0,84.61999999999999,84.5,69.06,82.06,80.44,59.440000000000005
0 vs 5,23.25,61.809999999999995,29.060000000000002,23.75,57.99999999999999,10.94,82.94,82.80999999999999,53.190000000000005,80.12,79.56,59.0
0 vs 6,16.81,65.19,16.12,10.94,62.31,10.440000000000001,85.11999999999999,84.31,53.559999999999995,81.87,81.12,51.0
0 vs 7,32.31,67.86999999999999,31.130000000000003,22.189999999999998,68.87,24.81,86.31,86.0,41.5,83.94,84.25,54.44
0 vs 8,5.5,56.00000000000001,3.25,9.75,54.059999999999995,0.69,77.56,76.5,44.690000000000005,73.61999999999999,70.06,46.56
0 vs 9,7.12,69.37,14.69,9.25,68.12,8.12,79.06,78.31,50.56,74.69,73.25,64.38000000000001
1 vs 2,18.69,69.06,28.560000000000002,12.620000000000001,70.06,36.620000000000005,87.44,85.19,63.370000000000005,83.81,82.87,53.87
1 vs 3,0.31,25.06,0.31,1.5599999999999998,23.69,0.0,64.19,64.88000000000001,34.38,57.25,53.0,24.560000000000002
1 vs 4,3.19,36.5,2.19,7.870000000000001,33.25,0.37,67.62,67.56,36.559999999999995,64.5,57.99999999999999,30.81
1 vs 5,7.6899999999999995,35.620000000000005,2.5,6.5,24.69,0.0,62.12,62.12,31.56,57.56,52.5,20.87
1 vs 6,0.62,36.809999999999995,1.5,2.19,32.81,0.37,71.31,71.0,36.5,65.19,61.370000000000005,20.810000000000002
1 vs 7,4.25,35.809999999999995,4.81,4.63,23.119999999999997,0.25,61.94,60.69,14.19,56.120000000000005,47.56,16.5
1 vs 8,17.62,69.81,14.56,12.620000000000001,68.94,15.559999999999999,89.31,87.62,68.56,84.87,84.25,55.69
1 vs 9,15.75,67.44,11.940000000000001,12.120000000000001,68.12,17.37,86.87,84.87,76.5,82.37,81.06,63.94
2 vs 3,9.69,67.94,13.44,8.19,70.30999999999999,21.63,86.0,84.25,75.06,81.87,80.12,44.75
2 vs 4,14.249999999999998,74.31,29.060000000000002,16.12,78.06,36.809999999999995,88.31,86.61999999999999,60.75000000000001,85.69,84.56,46.19
2 vs 5,14.75,67.44,19.62,14.75,71.75,30.75,86.81,85.37,73.5,84.44,83.12,50.94
2 vs 6,20.369999999999997,66.75,24.37,16.619999999999997,71.44,36.059999999999995,87.69,86.37,75.06,83.75,83.56,48.25
2 vs 7,23.5,67.56,22.56,14.62,69.75,30.5,87.81,86.06,61.25000000000001,83.94,83.31,38.440000000000005
2 vs 8,0.88,67.06,3.62,1.31,66.31,2.31,80.5,78.62,53.81,75.94,72.81,43.38
2 vs 9,0.12,32.87,0.44,1.25,37.0,0.12,68.56,68.44,42.25,62.62,60.12,29.75
3 vs 4,2.19,35.56,0.62,4.25,26.369999999999997,0.0,67.12,68.06,27.060000000000002,63.24999999999999,58.56,27.560000000000002
3 vs 5,0.5599999999999999,28.060000000000002,0.12,2.19,18.63,0.0,58.940000000000005,58.56,34.44,54.50000000000001,45.62,23.380000000000003
3 vs 6,0.25,27.0,0.19,1.25,25.56,0.06,68.94,69.31,26.119999999999997,62.69,58.809999999999995,18.0
3 vs 7,0.06,21.37,0.06,1.06,19.939999999999998,0.0,63.190000000000005,61.75000000000001,39.0,56.49999999999999,49.75,25.119999999999997
3 vs 8,25.5,69.31,16.0,25.869999999999997,71.06,21.69,89.0,88.81,70.37,86.5,86.44,53.559999999999995
3 vs 9,16.619999999999997,66.75,13.120000000000001,20.06,69.94,18.94,86.0,84.0,63.190000000000005,82.37,81.12,54.0
4 vs 5,19.0,48.06,14.75,9.06,34.0,0.44,67.62,65.56,13.63,64.81,59.75,40.0
4 vs 6,9.81,47.19,5.94,6.69,39.5,0.31,68.0,69.62,29.56,63.62,60.0,33.06
4 vs 7,2.56,32.81,1.6199999999999999,1.37,22.439999999999998,0.25,69.19,69.12,21.12,61.06,59.13,20.13
4 vs 8,34.25,68.62,21.75,32.690000000000005,71.63000000000001,27.0,90.19,90.19,84.75,87.69,88.06,59.870000000000005
4 vs 9,10.69,69.75,15.190000000000001,16.88,71.88,19.81,87.0,85.75,63.06,83.44,82.80999999999999,63.5
5 vs 6,0.44,25.869999999999997,0.06,1.06,25.69,0.06,63.24999999999999,63.74999999999999,15.25,55.69,52.190000000000005,16.37
5 vs 7,0.75,28.810000000000002,0.12,1.06,20.810000000000002,0.0,61.0,62.19,18.25,56.44,47.94,20.369999999999997
5 vs 8,34.56,69.12,21.19,39.69,72.94,33.12,91.06,90.62,73.56,88.31,89.0,57.56
5 vs 9,15.0,66.62,15.0,25.19,69.12,19.0,86.44,85.0,58.13,83.5,81.81,53.620000000000005
6 vs 7,3.44,28.939999999999998,2.31,3.25,27.500000000000004,0.19,68.56,68.75,40.19,63.690000000000005,58.19,26.75
6 vs 8,22.939999999999998,76.44,21.44,39.0,77.56,23.25,90.44,89.69,65.81,89.31,88.19,63.62
6 vs 9,18.44,67.94,16.619999999999997,21.69,67.81,23.0,85.61999999999999,84.56,55.50000000000001,81.87,81.37,47.0
7 vs 8,30.94,75.94,26.119999999999997,24.44,74.44,31.94,91.12,90.69,68.19,88.81,88.69,55.25
7 vs 9,15.310000000000002,65.86999999999999,20.87,19.939999999999998,67.86999999999999,27.689999999999998,86.19,85.37,66.06,84.0,83.06,54.37
8 vs 9,1.6199999999999999,55.059999999999995,4.44,0.31,54.44,0.31,72.31,72.37,11.940000000000001,63.24999999999999,62.62,38.87
