classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd,,,,,,,,,
0 vs 1,0.922,0.955,0.963,1,,,,,,,,,
0 vs 2,0.966,0.972,0.975,1,,,,,,,,,
0 vs 3,0.933,0.941,0.965,1,,,,,,,,,
0 vs 4,0.925,0.963,0.972,1,,,,,,,,,
0 vs 5,0.915,0.947,0.972,1,,,,,,,,,
0 vs 6,0.944,0.952,0.969,1,,,,,,,,,
0 vs 7,0.932,0.921,0.976,1,,,,,,,,,
0 vs 8,0.869,0.932,0.943,1,,,,,,,,,
0 vs 9,0.952,0.949,0.963,1,,,,,,,,,
1 vs 2,0.976,0.956,0.986,1,,,,,,,,,
1 vs 3,0.778,0.898,0.959,1,,,,,,,,,
1 vs 4,0.785,0.93,0.966,1,,,,,,,,,
1 vs 5,0.729,0.877,0.965,1,,,,,,,,,
1 vs 6,0.824,0.925,0.975,1,,,,,,,,,
1 vs 7,0.772,0.889,0.951,1,,,,,,,,,
1 vs 8,0.977,0.972,0.97,1,,,,,,,,,
1 vs 9,0.982,0.959,0.978,1,,,,,,,,,
2 vs 3,0.986,0.97,0.99,1,,,,,,,,,
2 vs 4,0.99,0.967,0.983,1,,,,,,,,,
2 vs 5,0.986,0.966,0.974,1,,,,,,,,,
2 vs 6,0.988,0.97,0.987,1,,,,,,,,,
2 vs 7,0.996,0.965,0.992,1,,,,,,,,,
2 vs 8,0.943,0.958,0.964,1,,,,,,,,,
2 vs 9,0.846,0.922,0.966,1,,,,,,,,,
3 vs 4,0.767,0.9,0.97,1,,,,,,,,,
3 vs 5,0.668,0.869,0.973,1,,,,,,,,,
3 vs 6,0.816,0.935,0.969,1,,,,,,,,,
3 vs 7,0.776,0.887,0.959,1,,,,,,,,,
3 vs 8,0.96,0.968,0.969,1,,,,,,,,,
3 vs 9,0.931,0.957,0.979,1,,,,,,,,,
4 vs 5,0.797,0.915,0.956,1,,,,,,,,,
4 vs 6,0.768,0.911,0.964,1,,,,,,,,,
4 vs 7,0.835,0.922,0.965,1,,,,,,,,,
4 vs 8,0.975,0.978,0.977,1,,,,,,,,,
4 vs 9,0.976,0.97,0.982,1,,,,,,,,,
5 vs 6,0.783,0.887,0.961,1,,,,,,,,,
5 vs 7,0.754,0.905,0.956,1,,,,,,,,,
5 vs 8,0.945,0.96,0.979,1,,,,,,,,,
5 vs 9,0.927,0.956,0.977,1,,,,,,,,,
6 vs 7,0.83,0.939,0.966,1,,,,,,,,,
6 vs 8,0.964,0.984,0.978,1,,,,,,,,,
6 vs 9,0.957,0.958,0.971,1,,,,,,,,,
7 vs 8,0.976,0.975,0.972,1,,,,,,,,,
7 vs 9,0.951,0.964,0.971,1,,,,,,,,,
8 vs 9,0.896,0.948,0.961,1,,,,,,,,,
,89.26222222,94.09777778,97.02,100,,,,,train,94.2,94.88,88.6,92.4
,,,,,,,,,test,87.2,85.42,83.2,86.8
,,103.5791757,104.4468547,108.4598698,,,,,train,89.26,94.1,97.02,100
,,,,,,,,,test,79.65,79.46,78.42,81.17
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,train,100,100.7218684,94.0552017,98.08917197
,,,,,,,,,test,100,97.9587156,95.41284404,99.5412844
,,,,,,,,,train,100,105.4223616,108.6937038,112.0322653
,,,,,,,,,test,100,99.76145637,98.45574388,101.908349
